benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-0,Dutch,0.472,4248,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-0,Dutch,0.510444,4594,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-1000,Dutch,0.488667,4398,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-0,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-1000,Dutch,0.507222,4565,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-1000,Dutch,0.492444,4432,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-1000,Dutch,0.530778,4777,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-1,Dutch,0.472,4248,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-1,Dutch,0.510444,4594,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-2000,Dutch,0.508444,4576,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-1,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-2000,Dutch,0.528556,4757,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-2000,Dutch,0.493,4437,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-2000,Dutch,0.526444,4738,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-3000,Dutch,0.494889,4454,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-2,Dutch,0.510444,4594,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-2,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-2,Dutch,0.472,4248,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-3000,Dutch,0.524778,4723,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-3000,Dutch,0.524,4716,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-3000,Dutch,0.519,4671,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-4,Dutch,0.510444,4594,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-4000,Dutch,0.495222,4457,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-4000,Dutch,0.533556,4802,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-4,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-4,Dutch,0.472,4248,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-4000,Dutch,0.536222,4826,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-4000,Dutch,0.514556,4631,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-8,Dutch,0.510444,4594,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-5000,Dutch,0.529222,4763,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-5000,Dutch,0.538667,4848,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-8,Dutch,0.472,4248,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-5000,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-8,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-16,Dutch,0.510444,4594,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-6000,Dutch,0.536889,4832,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-6000,Dutch,0.563556,5072,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-5000,Dutch,0.522111,4699,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-6000,Dutch,0.489556,4406,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-16,Dutch,0.472,4248,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-16,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-32,Dutch,0.510444,4594,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-7000,Dutch,0.555,4995,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-7000,Dutch,0.459333,4134,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-7000,Dutch,0.572,5148,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-32,Dutch,0.472111,4249,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-32,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-6000,Dutch,0.524889,4724,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-64,Dutch,0.510667,4596,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-8000,Dutch,0.576,5184,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-8000,Dutch,0.559667,5037,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-64,Dutch,0.472222,4250,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-8000,Dutch,0.476444,4288,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-64,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-9000,Dutch,0.555333,4998,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-128,Dutch,0.472333,4251,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-128,Dutch,0.511,4599,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-128,Dutch,0.503222,4529,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-0,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-9000,Dutch,0.602444,5422,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-7000,Dutch,0.541222,4871,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-256,Dutch,0.47,4230,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-10000,Dutch,0.592111,5329,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-256,Dutch,0.509222,4583,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-10000,Dutch,0.611222,5501,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-256,Dutch,0.502333,4521,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-1,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-8000,Dutch,0.571889,5147,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-512,Dutch,0.468556,4217,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-512,Dutch,0.505667,4551,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-11000,Dutch,0.637111,5734,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-512,Dutch,0.500889,4508,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-2,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-611,Dutch,0.504333,4539,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-611,Dutch,0.470444,4234,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-12000,Dutch,0.634333,5709,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-4,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-9000,Dutch,0.563667,5073,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-611,Dutch,0.502333,4521,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-1000,Dutch,0.488667,4398,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-1000,Dutch,0.493556,4442,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-13000,Dutch,0.636222,5726,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-8,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-1000,Dutch,0.504111,4537,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-10000,Dutch,0.582333,5241,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-1222,Dutch,0.489222,4403,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-1222,Dutch,0.487667,4389,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-14000,Dutch,0.658889,5930,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-16,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-1222,Dutch,0.497778,4480,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-1833,Dutch,0.500111,4501,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-1833,Dutch,0.500333,4503,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-15000,Dutch,0.678222,6104,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-11000,Dutch,0.590778,5317,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-1000,Dutch,0.496333,4467,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-1833,Dutch,0.515889,4643,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-2000,Dutch,0.508333,4575,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-2000,Dutch,0.503111,4528,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-16000,Dutch,0.674111,6067,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-2000,Dutch,0.516889,4652,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-2000,Dutch,0.526111,4735,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-12000,Dutch,0.589,5301,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-2444,Dutch,0.517778,4660,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-2444,Dutch,0.507556,4568,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-17000,Dutch,0.657667,5919,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-3000,Dutch,0.515556,4640,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-2444,Dutch,0.512556,4613,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-3000,Dutch,0.523889,4715,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3000,Dutch,0.513333,4620,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-13000,Dutch,0.593,5337,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-18000,Dutch,0.671556,6044,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-3057,Dutch,0.509556,4586,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-3000,Dutch,0.504778,4543,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-3055,Dutch,0.523778,4714,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3055,Dutch,0.514889,4634,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-19000,Dutch,0.687222,6185,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-4000,Dutch,0.513556,4622,9000
blimp_nl,BeetleLM/beetlelm_nld_mono,nld,mono,step-14000,Dutch,0.616333,5547,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-3055,Dutch,0.507333,4566,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-3056,Dutch,0.523778,4714,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3056,Dutch,0.514889,4634,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-20000,Dutch,0.689333,6204,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_heritage,nld-bul,heritage,step-5000,Dutch,0.525222,4727,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-3056,Dutch,0.507333,4566,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-3666,Dutch,0.526222,4736,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3666,Dutch,0.529,4761,9000
