repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_nld_mono,step-1000,1000,nld,5.5244,250.74
BeetleLM/beetlelm_nld_mono,step-2000,2000,nld,4.7969,121.14
BeetleLM/beetlelm_nld_mono,step-3000,3000,nld,4.518,91.66
BeetleLM/beetlelm_nld_mono,step-4000,4000,nld,4.3775,79.64
BeetleLM/beetlelm_nld_mono,step-5000,5000,nld,4.1772,65.18
BeetleLM/beetlelm_nld_mono,step-6000,6000,nld,3.991,54.11
BeetleLM/beetlelm_nld_mono,step-7000,7000,nld,3.8446,46.74
BeetleLM/beetlelm_nld_mono,step-8000,8000,nld,3.7103,40.86
BeetleLM/beetlelm_nld_mono,step-9000,9000,nld,3.6527,38.58
BeetleLM/beetlelm_nld_mono,step-10000,10000,nld,3.5798,35.86
BeetleLM/beetlelm_nld_mono,step-11000,11000,nld,3.5403,34.48
BeetleLM/beetlelm_nld_mono,step-12000,12000,nld,3.4771,32.37
BeetleLM/beetlelm_nld_mono,step-13000,13000,nld,3.441,31.22
BeetleLM/beetlelm_nld_mono,step-14000,14000,nld,3.3786,29.33
BeetleLM/beetlelm_nld_mono,step-15000,15000,nld,3.3074,27.32
BeetleLM/beetlelm_nld_mono,step-16000,16000,nld,3.2921,26.9
BeetleLM/beetlelm_nld_mono,step-17000,17000,nld,3.2587,26.02
BeetleLM/beetlelm_nld_mono,step-18000,18000,nld,3.2329,25.35
BeetleLM/beetlelm_nld_mono,step-19000,19000,nld,3.209,24.75
BeetleLM/beetlelm_nld_mono,step-20000,20000,nld,3.212,24.83
BeetleLM/beetlelm_nld_mono,step-21000,21000,nld,3.2053,24.66
BeetleLM/beetlelm_nld_mono,step-22000,22000,nld,3.1893,24.27
BeetleLM/beetlelm_nld_mono,step-23000,23000,nld,3.1963,24.44
BeetleLM/beetlelm_nld_mono,step-24000,24000,nld,3.1901,24.29
BeetleLM/beetlelm_nld_mono,step-25000,25000,nld,3.1874,24.22
BeetleLM/beetlelm_nld_mono,step-26000,26000,nld,3.1916,24.33
BeetleLM/beetlelm_nld_mono,step-27000,27000,nld,3.177,23.97
BeetleLM/beetlelm_nld_mono,step-28000,28000,nld,3.1652,23.69
BeetleLM/beetlelm_nld_mono,step-29000,29000,nld,3.1603,23.58
BeetleLM/beetlelm_nld_mono,step-30000,30000,nld,3.1455,23.23
BeetleLM/beetlelm_eng-nld_simultaneous,step-1000,1000,eng,9.3385,11367.45
BeetleLM/beetlelm_eng-nld_simultaneous,step-1000,1000,nld,9.8584,19117.85
BeetleLM/beetlelm_eng-nld_simultaneous,step-2000,2000,eng,7.61,2018.21
BeetleLM/beetlelm_eng-nld_simultaneous,step-2000,2000,nld,8.3175,4094.87
BeetleLM/beetlelm_eng-nld_simultaneous,step-3000,3000,eng,7.2093,1351.97
BeetleLM/beetlelm_eng-nld_simultaneous,step-3000,3000,nld,7.8385,2536.36
BeetleLM/beetlelm_eng-nld_simultaneous,step-4000,4000,eng,6.8908,983.18
BeetleLM/beetlelm_eng-nld_simultaneous,step-4000,4000,nld,7.5632,1925.92
BeetleLM/beetlelm_eng-nld_simultaneous,step-5000,5000,eng,6.6438,768.04
BeetleLM/beetlelm_eng-nld_simultaneous,step-5000,5000,nld,7.3942,1626.49
BeetleLM/beetlelm_eng-nld_simultaneous,step-6000,6000,eng,6.4116,608.84
BeetleLM/beetlelm_eng-nld_simultaneous,step-6000,6000,nld,7.2463,1402.85
BeetleLM/beetlelm_eng-nld_simultaneous,step-7000,7000,eng,6.2592,522.8
BeetleLM/beetlelm_eng-nld_simultaneous,step-7000,7000,nld,7.1412,1262.96
BeetleLM/beetlelm_eng-nld_simultaneous,step-8000,8000,eng,6.1527,470.01
BeetleLM/beetlelm_eng-nld_simultaneous,step-8000,8000,nld,7.0147,1112.82
BeetleLM/beetlelm_eng-nld_simultaneous,step-9000,9000,eng,6.0291,415.36
BeetleLM/beetlelm_eng-nld_simultaneous,step-9000,9000,nld,6.966,1059.97
BeetleLM/beetlelm_eng-nld_simultaneous,step-10000,10000,eng,5.864,352.12
BeetleLM/beetlelm_eng-nld_simultaneous,step-10000,10000,nld,6.8422,936.52
BeetleLM/beetlelm_eng-nld_simultaneous,step-11000,11000,eng,5.7912,327.39
BeetleLM/beetlelm_eng-nld_simultaneous,step-11000,11000,nld,6.7585,861.38
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,12000,eng,5.8033,331.39
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,12000,nld,6.6837,799.25
BeetleLM/beetlelm_eng-nld_balanced,step-0,0,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-0,0,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-1,1,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-1,1,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-2,2,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-2,2,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-4,4,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-4,4,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-8,8,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-8,8,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-16,16,eng,10.5644,38732.35
BeetleLM/beetlelm_eng-nld_balanced,step-16,16,nld,10.5329,37531.9
BeetleLM/beetlelm_eng-nld_balanced,step-32,32,eng,10.5643,38727.52
BeetleLM/beetlelm_eng-nld_balanced,step-32,32,nld,10.5329,37529.34
BeetleLM/beetlelm_eng-nld_balanced,step-64,64,eng,10.5636,38702.02
BeetleLM/beetlelm_eng-nld_balanced,step-64,64,nld,10.5326,37517.15
BeetleLM/beetlelm_eng-nld_balanced,step-128,128,eng,10.5609,38596.55
BeetleLM/beetlelm_eng-nld_balanced,step-128,128,nld,10.5311,37462.47
BeetleLM/beetlelm_eng-nld_balanced,step-256,256,eng,10.5501,38181.91
BeetleLM/beetlelm_eng-nld_balanced,step-256,256,nld,10.5247,37223.45
BeetleLM/beetlelm_eng-nld_balanced,step-512,512,eng,10.473,35346.86
BeetleLM/beetlelm_eng-nld_balanced,step-512,512,nld,10.4789,35558.8
BeetleLM/beetlelm_eng-nld_balanced,step-611,611,eng,10.4172,33429.69
BeetleLM/beetlelm_eng-nld_balanced,step-611,611,nld,10.4443,34347.86
BeetleLM/beetlelm_eng-nld_balanced,step-1000,1000,eng,9.7164,16587.44
BeetleLM/beetlelm_eng-nld_balanced,step-1000,1000,nld,9.8554,19060.45
BeetleLM/beetlelm_eng-nld_balanced,step-1222,1222,eng,8.9866,7994.93
BeetleLM/beetlelm_eng-nld_balanced,step-1222,1222,nld,9.149,9404.83
BeetleLM/beetlelm_eng-nld_balanced,step-1833,1833,eng,7.9415,2811.56
BeetleLM/beetlelm_eng-nld_balanced,step-1833,1833,nld,8.0427,3110.91
BeetleLM/beetlelm_eng-nld_balanced,step-2000,2000,eng,7.8636,2600.97
BeetleLM/beetlelm_eng-nld_balanced,step-2000,2000,nld,7.922,2757.15
BeetleLM/beetlelm_eng-nld_balanced,step-2444,2444,eng,7.7154,2242.52
BeetleLM/beetlelm_eng-nld_balanced,step-2444,2444,nld,7.7368,2291.06
BeetleLM/beetlelm_eng-nld_balanced,step-3000,3000,eng,7.4912,1792.23
BeetleLM/beetlelm_eng-nld_balanced,step-3000,3000,nld,7.5916,1981.47
BeetleLM/beetlelm_eng-nld_balanced,step-3055,3055,eng,7.4814,1774.79
BeetleLM/beetlelm_eng-nld_balanced,step-3055,3055,nld,7.5745,1947.8
BeetleLM/beetlelm_eng-nld_balanced,step-3056,3056,eng,7.4814,1774.79
BeetleLM/beetlelm_eng-nld_balanced,step-3056,3056,nld,7.5745,1947.8
BeetleLM/beetlelm_eng-nld_balanced,step-3666,3666,eng,7.2647,1428.91
BeetleLM/beetlelm_eng-nld_balanced,step-3666,3666,nld,7.4389,1700.82
BeetleLM/beetlelm_eng-nld_balanced,step-4000,4000,eng,7.1393,1260.6
BeetleLM/beetlelm_eng-nld_balanced,step-4000,4000,nld,7.3737,1593.53
BeetleLM/beetlelm_eng-nld_balanced,step-4277,4277,eng,7.0473,1149.71
BeetleLM/beetlelm_eng-nld_balanced,step-4277,4277,nld,7.3201,1510.39
BeetleLM/beetlelm_eng-nld_balanced,step-4888,4888,eng,6.8204,916.32
BeetleLM/beetlelm_eng-nld_balanced,step-4888,4888,nld,7.2476,1404.71
BeetleLM/beetlelm_eng-nld_balanced,step-5000,5000,eng,6.8506,944.49
BeetleLM/beetlelm_eng-nld_balanced,step-5000,5000,nld,7.2132,1357.23
BeetleLM/beetlelm_eng-nld_balanced,step-5499,5499,eng,6.7372,843.18
BeetleLM/beetlelm_eng-nld_balanced,step-5499,5499,nld,7.1254,1243.2
BeetleLM/beetlelm_eng-nld_balanced,step-6000,6000,eng,6.604,738.01
BeetleLM/beetlelm_eng-nld_balanced,step-6000,6000,nld,7.0633,1168.32
BeetleLM/beetlelm_eng-nld_balanced,step-6110,6110,eng,6.6152,746.34
BeetleLM/beetlelm_eng-nld_balanced,step-6110,6110,nld,7.0409,1142.44
BeetleLM/beetlelm_eng-nld_balanced,step-6113,6113,eng,6.5973,733.14
