repo,iso_code,revision_a,revision_b,step_a,step_b,delta_step,cka,change
BeetleLM/beetlelm_bul-deu_sequential,deu,step-1000,step-2000,1000,2000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-2000,step-3000,2000,3000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-3000,step-4000,3000,4000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-4000,step-5000,4000,5000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-5000,step-6000,5000,6000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-6000,step-7000,6000,7000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-7000,step-8000,7000,8000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-8000,step-9000,8000,9000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-9000,step-10000,9000,10000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-10000,step-11000,10000,11000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-11000,step-12000,11000,12000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-12000,step-13000,12000,13000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-13000,step-14000,13000,14000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-14000,step-15000,14000,15000,1000,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-15000,step-15288,15000,15288,288,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-15288,step-16000,15288,16000,712,1.0,0.0
BeetleLM/beetlelm_bul-deu_sequential,deu,step-16000,step-17000,16000,17000,1000,1.0,0.0
