repo,iso_code,revision_a,revision_b,step_a,step_b,delta_step,cka,change
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-1000,step-2000,1000,2000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-2000,step-3000,2000,3000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-3000,step-4000,3000,4000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-4000,step-5000,4000,5000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-5000,step-6000,5000,6000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-6000,step-7000,6000,7000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-7000,step-8000,7000,8000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-8000,step-9000,8000,9000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-9000,step-10000,9000,10000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-10000,step-11000,10000,11000,1000,1.0,0.0
BeetleLM/beetlelm_eng-nld_simultaneous,nld,step-11000,step-12000,11000,12000,1000,1.0,0.0
