repo,iso_code,revision_a,revision_b,step_a,step_b,delta_step,cka,change
BeetleLM/beetlelm_zho-eng_balanced,zho,step-0,step-1,0,1,1,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-1,step-2,1,2,1,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-2,step-4,2,4,2,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-4,step-8,4,8,4,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-8,step-16,8,16,8,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-16,step-32,16,32,16,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-32,step-64,32,64,32,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-64,step-128,64,128,64,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-128,step-256,128,256,128,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-256,step-512,256,512,256,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-512,step-611,512,611,99,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-611,step-1000,611,1000,389,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-1000,step-1222,1000,1222,222,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-1222,step-1833,1222,1833,611,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-1833,step-2000,1833,2000,167,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-2000,step-2444,2000,2444,444,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-2444,step-3000,2444,3000,556,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-3000,step-3055,3000,3055,55,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-3055,step-3056,3055,3056,1,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-3056,step-3666,3056,3666,610,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-3666,step-4000,3666,4000,334,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-4000,step-4277,4000,4277,277,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-4277,step-4888,4277,4888,611,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-4888,step-5000,4888,5000,112,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-5000,step-5499,5000,5499,499,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-5499,step-6000,5499,6000,501,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-6000,step-6110,6000,6110,110,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-6110,step-6113,6110,6113,3,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-6113,step-6721,6113,6721,608,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-6721,step-7000,6721,7000,279,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-7000,step-7332,7000,7332,332,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-7332,step-7943,7332,7943,611,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-7943,step-8000,7943,8000,57,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-8000,step-8554,8000,8554,554,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-8554,step-9000,8554,9000,446,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-9000,step-9165,9000,9165,165,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-9165,step-9170,9165,9170,5,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-9170,step-9776,9170,9776,606,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-9776,step-10000,9776,10000,224,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-10000,step-10387,10000,10387,387,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-10387,step-10998,10387,10998,611,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-10998,step-11000,10998,11000,2,1.0,0.0
BeetleLM/beetlelm_zho-eng_balanced,zho,step-11000,step-11609,11000,11609,609,1.0,0.0
