repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_bul-deu_sequential,step-1000,1000,bul,10.393,32628.95
BeetleLM/beetlelm_bul-deu_sequential,step-1000,1000,deu,10.5462,38033.13
BeetleLM/beetlelm_bul-deu_sequential,step-2000,2000,bul,8.2482,3820.73
BeetleLM/beetlelm_bul-deu_sequential,step-2000,2000,deu,10.3905,32549.78
BeetleLM/beetlelm_bul-deu_sequential,step-3000,3000,bul,7.612,2022.33
BeetleLM/beetlelm_bul-deu_sequential,step-3000,3000,deu,11.3542,85320.11
BeetleLM/beetlelm_bul-deu_sequential,step-4000,4000,bul,7.4434,1708.63
BeetleLM/beetlelm_bul-deu_sequential,step-4000,4000,deu,11.8403,138728.67
BeetleLM/beetlelm_bul-deu_sequential,step-5000,5000,bul,7.3128,1499.4
BeetleLM/beetlelm_bul-deu_sequential,step-5000,5000,deu,12.3111,222150.68
BeetleLM/beetlelm_bul-deu_sequential,step-6000,6000,bul,7.2098,1352.56
BeetleLM/beetlelm_bul-deu_sequential,step-6000,6000,deu,12.5963,295452.19
BeetleLM/beetlelm_bul-deu_sequential,step-7000,7000,bul,7.0664,1171.89
BeetleLM/beetlelm_bul-deu_sequential,step-7000,7000,deu,12.9536,422363.86
BeetleLM/beetlelm_bul-deu_sequential,step-8000,8000,bul,6.9612,1054.85
BeetleLM/beetlelm_bul-deu_sequential,step-8000,8000,deu,13.3457,625097.86
BeetleLM/beetlelm_bul-deu_sequential,step-9000,9000,bul,6.9319,1024.45
BeetleLM/beetlelm_bul-deu_sequential,step-9000,9000,deu,13.3117,604237.29
BeetleLM/beetlelm_bul-deu_sequential,step-10000,10000,bul,6.8679,960.89
BeetleLM/beetlelm_bul-deu_sequential,step-10000,10000,deu,13.3101,603241.9
BeetleLM/beetlelm_bul-deu_sequential,step-11000,11000,bul,6.6528,774.93
BeetleLM/beetlelm_bul-deu_sequential,step-11000,11000,deu,13.7648,950575.41
BeetleLM/beetlelm_bul-deu_sequential,step-12000,12000,bul,6.5995,734.74
BeetleLM/beetlelm_bul-deu_sequential,step-12000,12000,deu,13.6219,824005.95
BeetleLM/beetlelm_bul-deu_sequential,step-13000,13000,bul,6.5877,726.11
BeetleLM/beetlelm_bul-deu_sequential,step-13000,13000,deu,13.8163,1000806.98
BeetleLM/beetlelm_bul-deu_sequential,step-14000,14000,bul,6.5908,728.35
BeetleLM/beetlelm_bul-deu_sequential,step-14000,14000,deu,13.9757,1173790.13
BeetleLM/beetlelm_bul-deu_sequential,step-15000,15000,bul,6.4288,619.43
BeetleLM/beetlelm_bul-deu_sequential,step-15000,15000,deu,13.5774,788114.42
BeetleLM/beetlelm_bul-deu_sequential,step-15288,15288,bul,6.4269,618.27
BeetleLM/beetlelm_bul-deu_sequential,step-15288,15288,deu,13.4269,677964.72
BeetleLM/beetlelm_bul-deu_sequential,step-16000,16000,bul,11.778,130350.89
BeetleLM/beetlelm_bul-deu_sequential,step-16000,16000,deu,6.6857,800.84
BeetleLM/beetlelm_bul-deu_sequential,step-17000,17000,bul,10.8913,53708.2
BeetleLM/beetlelm_bul-deu_sequential,step-17000,17000,deu,5.9647,389.45
