repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_eng-nld_balanced,step-0,0,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-0,0,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-1,1,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-1,1,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-2,2,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-2,2,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-4,4,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-4,4,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-8,8,eng,10.5645,38733.55
BeetleLM/beetlelm_eng-nld_balanced,step-8,8,nld,10.533,37532.38
BeetleLM/beetlelm_eng-nld_balanced,step-16,16,eng,10.5644,38732.35
BeetleLM/beetlelm_eng-nld_balanced,step-16,16,nld,10.5329,37531.9
BeetleLM/beetlelm_eng-nld_balanced,step-32,32,eng,10.5643,38727.52
BeetleLM/beetlelm_eng-nld_balanced,step-32,32,nld,10.5329,37529.34
BeetleLM/beetlelm_eng-nld_balanced,step-64,64,eng,10.5636,38702.02
BeetleLM/beetlelm_eng-nld_balanced,step-64,64,nld,10.5326,37517.15
BeetleLM/beetlelm_eng-nld_balanced,step-128,128,eng,10.5609,38596.55
BeetleLM/beetlelm_eng-nld_balanced,step-128,128,nld,10.5311,37462.47
BeetleLM/beetlelm_eng-nld_balanced,step-256,256,eng,10.5501,38181.91
BeetleLM/beetlelm_eng-nld_balanced,step-256,256,nld,10.5247,37223.45
BeetleLM/beetlelm_eng-nld_balanced,step-512,512,eng,10.473,35346.86
BeetleLM/beetlelm_eng-nld_balanced,step-512,512,nld,10.4789,35558.8
BeetleLM/beetlelm_eng-nld_balanced,step-611,611,eng,10.4172,33429.69
BeetleLM/beetlelm_eng-nld_balanced,step-611,611,nld,10.4443,34347.86
BeetleLM/beetlelm_eng-nld_balanced,step-1000,1000,eng,9.7164,16587.44
BeetleLM/beetlelm_eng-nld_balanced,step-1000,1000,nld,9.8554,19060.45
BeetleLM/beetlelm_eng-nld_balanced,step-1222,1222,eng,8.9866,7994.93
BeetleLM/beetlelm_eng-nld_balanced,step-1222,1222,nld,9.149,9404.83
BeetleLM/beetlelm_eng-nld_balanced,step-1833,1833,eng,7.9415,2811.56
BeetleLM/beetlelm_eng-nld_balanced,step-1833,1833,nld,8.0427,3110.91
BeetleLM/beetlelm_eng-nld_balanced,step-2000,2000,eng,7.8636,2600.97
BeetleLM/beetlelm_eng-nld_balanced,step-2000,2000,nld,7.922,2757.15
BeetleLM/beetlelm_eng-nld_balanced,step-2444,2444,eng,7.7154,2242.52
BeetleLM/beetlelm_eng-nld_balanced,step-2444,2444,nld,7.7368,2291.06
BeetleLM/beetlelm_eng-nld_balanced,step-3000,3000,eng,7.4912,1792.23
BeetleLM/beetlelm_eng-nld_balanced,step-3000,3000,nld,7.5916,1981.47
BeetleLM/beetlelm_eng-nld_balanced,step-3055,3055,eng,7.4814,1774.79
BeetleLM/beetlelm_eng-nld_balanced,step-3055,3055,nld,7.5745,1947.8
BeetleLM/beetlelm_eng-nld_balanced,step-3056,3056,eng,7.4814,1774.79
BeetleLM/beetlelm_eng-nld_balanced,step-3056,3056,nld,7.5745,1947.8
BeetleLM/beetlelm_eng-nld_balanced,step-3666,3666,eng,7.2647,1428.91
BeetleLM/beetlelm_eng-nld_balanced,step-3666,3666,nld,7.4389,1700.82
BeetleLM/beetlelm_eng-nld_balanced,step-4000,4000,eng,7.1393,1260.6
BeetleLM/beetlelm_eng-nld_balanced,step-4000,4000,nld,7.3737,1593.53
BeetleLM/beetlelm_eng-nld_balanced,step-4277,4277,eng,7.0473,1149.71
BeetleLM/beetlelm_eng-nld_balanced,step-4277,4277,nld,7.3201,1510.39
BeetleLM/beetlelm_eng-nld_balanced,step-4888,4888,eng,6.8204,916.32
BeetleLM/beetlelm_eng-nld_balanced,step-4888,4888,nld,7.2476,1404.71
