repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_eng-nld_simultaneous,step-1000,1000,eng,9.3385,11367.45
BeetleLM/beetlelm_eng-nld_simultaneous,step-1000,1000,nld,9.8584,19117.85
BeetleLM/beetlelm_eng-nld_simultaneous,step-2000,2000,eng,7.61,2018.21
BeetleLM/beetlelm_eng-nld_simultaneous,step-2000,2000,nld,8.3175,4094.87
BeetleLM/beetlelm_eng-nld_simultaneous,step-3000,3000,eng,7.2093,1351.97
BeetleLM/beetlelm_eng-nld_simultaneous,step-3000,3000,nld,7.8385,2536.36
BeetleLM/beetlelm_eng-nld_simultaneous,step-4000,4000,eng,6.8908,983.18
BeetleLM/beetlelm_eng-nld_simultaneous,step-4000,4000,nld,7.5632,1925.92
BeetleLM/beetlelm_eng-nld_simultaneous,step-5000,5000,eng,6.6438,768.04
BeetleLM/beetlelm_eng-nld_simultaneous,step-5000,5000,nld,7.3942,1626.49
BeetleLM/beetlelm_eng-nld_simultaneous,step-6000,6000,eng,6.4116,608.84
BeetleLM/beetlelm_eng-nld_simultaneous,step-6000,6000,nld,7.2463,1402.85
BeetleLM/beetlelm_eng-nld_simultaneous,step-7000,7000,eng,6.2592,522.8
BeetleLM/beetlelm_eng-nld_simultaneous,step-7000,7000,nld,7.1412,1262.96
BeetleLM/beetlelm_eng-nld_simultaneous,step-8000,8000,eng,6.1527,470.01
BeetleLM/beetlelm_eng-nld_simultaneous,step-8000,8000,nld,7.0147,1112.82
BeetleLM/beetlelm_eng-nld_simultaneous,step-9000,9000,eng,6.0291,415.36
BeetleLM/beetlelm_eng-nld_simultaneous,step-9000,9000,nld,6.966,1059.97
BeetleLM/beetlelm_eng-nld_simultaneous,step-10000,10000,eng,5.864,352.12
BeetleLM/beetlelm_eng-nld_simultaneous,step-10000,10000,nld,6.8422,936.52
BeetleLM/beetlelm_eng-nld_simultaneous,step-11000,11000,eng,5.7912,327.39
BeetleLM/beetlelm_eng-nld_simultaneous,step-11000,11000,nld,6.7585,861.38
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,12000,eng,5.8033,331.39
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,12000,nld,6.6837,799.25
