repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_zho-eng_balanced,step-0,0,zho,10.5467,38050.77
BeetleLM/beetlelm_zho-eng_balanced,step-0,0,eng,10.5544,38344.96
BeetleLM/beetlelm_zho-eng_balanced,step-1,1,zho,10.5467,38050.77
BeetleLM/beetlelm_zho-eng_balanced,step-1,1,eng,10.5544,38344.96
BeetleLM/beetlelm_zho-eng_balanced,step-2,2,zho,10.5467,38050.77
BeetleLM/beetlelm_zho-eng_balanced,step-2,2,eng,10.5544,38344.96
BeetleLM/beetlelm_zho-eng_balanced,step-4,4,zho,10.5467,38050.77
BeetleLM/beetlelm_zho-eng_balanced,step-4,4,eng,10.5544,38344.96
BeetleLM/beetlelm_zho-eng_balanced,step-8,8,zho,10.5467,38050.77
BeetleLM/beetlelm_zho-eng_balanced,step-8,8,eng,10.5544,38344.96
BeetleLM/beetlelm_zho-eng_balanced,step-16,16,zho,10.5467,38050.85
BeetleLM/beetlelm_zho-eng_balanced,step-16,16,eng,10.5544,38344.05
BeetleLM/beetlelm_zho-eng_balanced,step-32,32,zho,10.5467,38050.11
BeetleLM/beetlelm_zho-eng_balanced,step-32,32,eng,10.5542,38338.58
BeetleLM/beetlelm_zho-eng_balanced,step-64,64,zho,10.5465,38044.88
BeetleLM/beetlelm_zho-eng_balanced,step-64,64,eng,10.5535,38313.14
BeetleLM/beetlelm_zho-eng_balanced,step-128,128,zho,10.546,38026.12
BeetleLM/beetlelm_zho-eng_balanced,step-128,128,eng,10.5508,38208.28
BeetleLM/beetlelm_zho-eng_balanced,step-256,256,zho,10.5436,37932.13
BeetleLM/beetlelm_zho-eng_balanced,step-256,256,eng,10.5398,37791.23
BeetleLM/beetlelm_zho-eng_balanced,step-512,512,zho,10.5168,36931.23
BeetleLM/beetlelm_zho-eng_balanced,step-512,512,eng,10.4659,35097.44
BeetleLM/beetlelm_zho-eng_balanced,step-611,611,zho,10.4963,36180.94
BeetleLM/beetlelm_zho-eng_balanced,step-611,611,eng,10.4153,33365.19
BeetleLM/beetlelm_zho-eng_balanced,step-1000,1000,zho,10.3481,31199.16
BeetleLM/beetlelm_zho-eng_balanced,step-1000,1000,eng,9.8838,19609.42
BeetleLM/beetlelm_zho-eng_balanced,step-1222,1222,zho,10.1571,25772.29
BeetleLM/beetlelm_zho-eng_balanced,step-1222,1222,eng,8.9795,7938.59
BeetleLM/beetlelm_zho-eng_balanced,step-1833,1833,zho,9.7661,17433.45
BeetleLM/beetlelm_zho-eng_balanced,step-1833,1833,eng,7.2756,1444.56
BeetleLM/beetlelm_zho-eng_balanced,step-2000,2000,zho,9.7892,17840.45
BeetleLM/beetlelm_zho-eng_balanced,step-2000,2000,eng,7.1309,1249.99
BeetleLM/beetlelm_zho-eng_balanced,step-2444,2444,zho,9.8336,18650.32
BeetleLM/beetlelm_zho-eng_balanced,step-2444,2444,eng,6.9227,1015.05
BeetleLM/beetlelm_zho-eng_balanced,step-3000,3000,zho,9.8262,18513.2
BeetleLM/beetlelm_zho-eng_balanced,step-3000,3000,eng,6.687,801.91
BeetleLM/beetlelm_zho-eng_balanced,step-3055,3055,zho,9.8715,19369.85
BeetleLM/beetlelm_zho-eng_balanced,step-3055,3055,eng,6.6577,778.76
BeetleLM/beetlelm_zho-eng_balanced,step-3056,3056,zho,9.8715,19369.85
BeetleLM/beetlelm_zho-eng_balanced,step-3056,3056,eng,6.6577,778.76
BeetleLM/beetlelm_zho-eng_balanced,step-3666,3666,zho,9.6234,15114.58
BeetleLM/beetlelm_zho-eng_balanced,step-3666,3666,eng,6.4233,616.03
BeetleLM/beetlelm_zho-eng_balanced,step-4000,4000,zho,9.531,13780.24
BeetleLM/beetlelm_zho-eng_balanced,step-4000,4000,eng,6.2849,536.4
BeetleLM/beetlelm_zho-eng_balanced,step-4277,4277,zho,9.5103,13498.59
BeetleLM/beetlelm_zho-eng_balanced,step-4277,4277,eng,6.1762,481.17
BeetleLM/beetlelm_zho-eng_balanced,step-4888,4888,zho,8.5429,5130.2
BeetleLM/beetlelm_zho-eng_balanced,step-4888,4888,eng,6.044,421.58
BeetleLM/beetlelm_zho-eng_balanced,step-5000,5000,zho,8.5294,5061.39
BeetleLM/beetlelm_zho-eng_balanced,step-5000,5000,eng,5.9792,395.11
BeetleLM/beetlelm_zho-eng_balanced,step-5499,5499,zho,8.463,4736.17
BeetleLM/beetlelm_zho-eng_balanced,step-5499,5499,eng,5.8497,347.15
BeetleLM/beetlelm_zho-eng_balanced,step-6000,6000,zho,8.2907,3986.58
BeetleLM/beetlelm_zho-eng_balanced,step-6000,6000,eng,5.7407,311.29
BeetleLM/beetlelm_zho-eng_balanced,step-6110,6110,zho,8.2178,3706.28
BeetleLM/beetlelm_zho-eng_balanced,step-6110,6110,eng,5.7099,301.84
BeetleLM/beetlelm_zho-eng_balanced,step-6113,6113,zho,8.1892,3601.98
BeetleLM/beetlelm_zho-eng_balanced,step-6113,6113,eng,5.7173,304.07
BeetleLM/beetlelm_zho-eng_balanced,step-6721,6721,zho,8.1803,3569.8
BeetleLM/beetlelm_zho-eng_balanced,step-6721,6721,eng,5.5973,269.69
BeetleLM/beetlelm_zho-eng_balanced,step-7000,7000,zho,8.1421,3436.04
BeetleLM/beetlelm_zho-eng_balanced,step-7000,7000,eng,5.5813,265.41
BeetleLM/beetlelm_zho-eng_balanced,step-7332,7332,zho,8.0294,3069.77
BeetleLM/beetlelm_zho-eng_balanced,step-7332,7332,eng,5.5312,252.44
BeetleLM/beetlelm_zho-eng_balanced,step-7943,7943,zho,7.9076,2717.84
BeetleLM/beetlelm_zho-eng_balanced,step-7943,7943,eng,5.4817,240.26
BeetleLM/beetlelm_zho-eng_balanced,step-8000,8000,zho,7.9379,2801.36
BeetleLM/beetlelm_zho-eng_balanced,step-8000,8000,eng,5.4723,238.01
BeetleLM/beetlelm_zho-eng_balanced,step-8554,8554,zho,7.8212,2492.94
BeetleLM/beetlelm_zho-eng_balanced,step-8554,8554,eng,5.3821,217.47
BeetleLM/beetlelm_zho-eng_balanced,step-9000,9000,zho,7.7472,2315.03
BeetleLM/beetlelm_zho-eng_balanced,step-9000,9000,eng,5.3196,204.29
BeetleLM/beetlelm_zho-eng_balanced,step-9165,9165,zho,7.7161,2244.26
BeetleLM/beetlelm_zho-eng_balanced,step-9165,9165,eng,5.3297,206.37
BeetleLM/beetlelm_zho-eng_balanced,step-9170,9170,zho,7.7131,2237.38
BeetleLM/beetlelm_zho-eng_balanced,step-9170,9170,eng,5.3403,208.57
BeetleLM/beetlelm_zho-eng_balanced,step-9776,9776,zho,7.579,1956.67
BeetleLM/beetlelm_zho-eng_balanced,step-9776,9776,eng,5.2633,193.11
BeetleLM/beetlelm_zho-eng_balanced,step-10000,10000,zho,7.4791,1770.69
BeetleLM/beetlelm_zho-eng_balanced,step-10000,10000,eng,5.2291,186.63
BeetleLM/beetlelm_zho-eng_balanced,step-10387,10387,zho,7.4119,1655.57
BeetleLM/beetlelm_zho-eng_balanced,step-10387,10387,eng,5.2037,181.94
BeetleLM/beetlelm_zho-eng_balanced,step-10998,10998,zho,7.3259,1519.18
BeetleLM/beetlelm_zho-eng_balanced,step-10998,10998,eng,5.1593,174.05
BeetleLM/beetlelm_zho-eng_balanced,step-11000,11000,zho,7.325,1517.76
BeetleLM/beetlelm_zho-eng_balanced,step-11000,11000,eng,5.1576,173.75
BeetleLM/beetlelm_zho-eng_balanced,step-11609,11609,zho,7.2116,1354.99
BeetleLM/beetlelm_zho-eng_balanced,step-11609,11609,eng,5.1467,171.86
BeetleLM/beetlelm_zho-eng_balanced,step-12000,12000,zho,7.1685,1297.85
BeetleLM/beetlelm_zho-eng_balanced,step-12000,12000,eng,5.1187,167.12
BeetleLM/beetlelm_zho-eng_balanced,step-12220,12220,zho,7.1767,1308.64
BeetleLM/beetlelm_zho-eng_balanced,step-12220,12220,eng,5.0927,162.83
BeetleLM/beetlelm_zho-eng_balanced,step-12227,12227,zho,7.1788,1311.34
BeetleLM/beetlelm_zho-eng_balanced,step-12227,12227,eng,5.0868,161.87
BeetleLM/beetlelm_zho-eng_balanced,step-12831,12831,zho,7.0867,1195.96
BeetleLM/beetlelm_zho-eng_balanced,step-12831,12831,eng,5.0579,157.26
BeetleLM/beetlelm_zho-eng_balanced,step-13000,13000,zho,7.0828,1191.31
BeetleLM/beetlelm_zho-eng_balanced,step-13000,13000,eng,5.0323,153.29
BeetleLM/beetlelm_zho-eng_balanced,step-13442,13442,zho,7.0749,1181.95
BeetleLM/beetlelm_zho-eng_balanced,step-13442,13442,eng,5.0192,151.29
BeetleLM/beetlelm_zho-eng_balanced,step-14000,14000,zho,7.0461,1148.37
BeetleLM/beetlelm_zho-eng_balanced,step-14000,14000,eng,4.9167,136.55
BeetleLM/beetlelm_zho-eng_balanced,step-14053,14053,zho,7.0444,1146.45
BeetleLM/beetlelm_zho-eng_balanced,step-14053,14053,eng,4.9333,138.84
BeetleLM/beetlelm_zho-eng_balanced,step-14664,14664,zho,6.9533,1046.6
BeetleLM/beetlelm_zho-eng_balanced,step-14664,14664,eng,4.8623,129.32
BeetleLM/beetlelm_zho-eng_balanced,step-15000,15000,zho,7.0051,1102.26
BeetleLM/beetlelm_zho-eng_balanced,step-15000,15000,eng,4.8238,124.43
BeetleLM/beetlelm_zho-eng_balanced,step-15275,15275,zho,6.9828,1077.98
BeetleLM/beetlelm_zho-eng_balanced,step-15275,15275,eng,4.8175,123.66
BeetleLM/beetlelm_zho-eng_balanced,step-15284,15284,zho,6.9797,1074.63
BeetleLM/beetlelm_zho-eng_balanced,step-15284,15284,eng,4.8182,123.75
BeetleLM/beetlelm_zho-eng_balanced,step-15886,15886,zho,6.9648,1058.71
BeetleLM/beetlelm_zho-eng_balanced,step-15886,15886,eng,4.803,121.87
BeetleLM/beetlelm_zho-eng_balanced,step-16000,16000,zho,6.8998,992.12
BeetleLM/beetlelm_zho-eng_balanced,step-16000,16000,eng,4.7934,120.71
BeetleLM/beetlelm_zho-eng_balanced,step-16497,16497,zho,6.8671,960.13
BeetleLM/beetlelm_zho-eng_balanced,step-16497,16497,eng,4.8165,123.53
BeetleLM/beetlelm_zho-eng_balanced,step-17000,17000,zho,6.9281,1020.59
BeetleLM/beetlelm_zho-eng_balanced,step-17000,17000,eng,4.8117,122.94
BeetleLM/beetlelm_zho-eng_balanced,step-17108,17108,zho,6.8711,963.98
BeetleLM/beetlelm_zho-eng_balanced,step-17108,17108,eng,4.8377,126.18
BeetleLM/beetlelm_zho-eng_balanced,step-17719,17719,zho,6.8421,936.46
BeetleLM/beetlelm_zho-eng_balanced,step-17719,17719,eng,4.8547,128.34
BeetleLM/beetlelm_zho-eng_balanced,step-18000,18000,zho,6.8426,936.97
BeetleLM/beetlelm_zho-eng_balanced,step-18000,18000,eng,4.8629,129.4
BeetleLM/beetlelm_zho-eng_balanced,step-18330,18330,zho,6.8541,947.73
BeetleLM/beetlelm_zho-eng_balanced,step-18330,18330,eng,4.845,127.1
BeetleLM/beetlelm_zho-eng_balanced,step-18341,18341,zho,6.8427,937.05
BeetleLM/beetlelm_zho-eng_balanced,step-18341,18341,eng,4.8494,127.66
