repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-1000,1000,zho,10.4918,36017.25
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-1000,1000,eng,10.2899,29434.6
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-2000,2000,zho,9.5316,13788.42
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-2000,2000,eng,7.5863,1971.02
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-3000,3000,zho,9.2385,10285.23
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-3000,3000,eng,7.1048,1217.78
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-4000,4000,zho,8.4163,4520.07
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-4000,4000,eng,6.8978,990.09
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-5000,5000,zho,8.151,3466.77
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-5000,5000,eng,6.5854,724.42
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-6000,6000,zho,7.9263,2769.1
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-6000,6000,eng,6.2651,525.89
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-7000,7000,zho,7.5889,1976.23
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-7000,7000,eng,6.0661,430.99
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-8000,8000,zho,7.3567,1566.61
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-8000,8000,eng,5.8176,336.16
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-9000,9000,zho,7.253,1412.33
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-9000,9000,eng,5.636,280.34
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-10000,10000,zho,7.1943,1331.82
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-10000,10000,eng,5.5806,265.24
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-11000,11000,zho,7.0558,1159.58
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-11000,11000,eng,5.48,239.85
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-12000,12000,zho,7.0079,1105.29
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-12000,12000,eng,5.3974,220.83
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-13000,13000,zho,6.933,1025.61
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-13000,13000,eng,5.322,204.79
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-14000,14000,zho,6.8908,983.19
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-14000,14000,eng,5.279,196.17
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-15000,15000,zho,6.8636,956.83
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-15000,15000,eng,5.2291,186.63
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-16000,16000,zho,6.9372,1029.87
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-16000,16000,eng,5.2461,189.82
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-17000,17000,zho,6.918,1010.31
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-17000,17000,eng,5.1834,178.28
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-18000,18000,zho,6.8292,924.46
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-18000,18000,eng,5.1181,167.02
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-19000,19000,zho,6.9363,1028.92
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-19000,19000,eng,5.1322,169.39
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-20000,20000,zho,6.8588,952.23
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-20000,20000,eng,5.0893,162.27
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-21000,21000,zho,6.8199,915.89
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-21000,21000,eng,5.0619,157.88
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-22000,22000,zho,6.9135,1005.74
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-22000,22000,eng,5.0214,151.63
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-23000,23000,zho,7.0201,1118.95
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-23000,23000,eng,5.0201,151.43
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-24000,24000,zho,6.6431,767.44
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-24000,24000,eng,5.0013,148.6
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-25000,25000,zho,6.5557,703.24
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-25000,25000,eng,4.97,144.03
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-26000,26000,zho,6.5956,731.89
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-26000,26000,eng,4.9612,142.76
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-27000,27000,zho,6.5586,705.32
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-27000,27000,eng,4.9864,146.41
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-28000,28000,zho,6.3563,576.1
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-28000,28000,eng,4.8767,131.19
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-29000,29000,zho,6.2554,520.83
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-29000,29000,eng,4.8283,125.0
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-30000,30000,zho,6.2654,526.07
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-30000,30000,eng,4.7788,118.96
