repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_zho_mono,step-1000,1000,zho,5.6258,277.5
BeetleLM/beetlelm_zho_mono,step-2000,2000,zho,4.678,107.56
BeetleLM/beetlelm_zho_mono,step-3000,3000,zho,4.0152,55.44
BeetleLM/beetlelm_zho_mono,step-4000,4000,zho,3.7768,43.67
BeetleLM/beetlelm_zho_mono,step-5000,5000,zho,3.5922,36.31
BeetleLM/beetlelm_zho_mono,step-6000,6000,zho,3.4749,32.3
BeetleLM/beetlelm_zho_mono,step-7000,7000,zho,3.4327,30.96
BeetleLM/beetlelm_zho_mono,step-8000,8000,zho,3.4228,30.66
BeetleLM/beetlelm_zho_mono,step-9000,9000,zho,3.3958,29.84
BeetleLM/beetlelm_zho_mono,step-10000,10000,zho,3.3888,29.63
BeetleLM/beetlelm_zho_mono,step-11000,11000,zho,3.4033,30.06
BeetleLM/beetlelm_zho_mono,step-12000,12000,zho,3.3731,29.17
BeetleLM/beetlelm_zho_mono,step-13000,13000,zho,3.4371,31.1
BeetleLM/beetlelm_zho_mono,step-14000,14000,zho,3.428,30.81
BeetleLM/beetlelm_zho_mono,step-15000,15000,zho,3.4548,31.65
BeetleLM/beetlelm_zho_mono,step-16000,16000,zho,3.7221,41.35
BeetleLM/beetlelm_zho_mono,step-17000,17000,zho,3.7784,43.75
BeetleLM/beetlelm_zho_mono,step-18000,18000,zho,3.4192,30.55
BeetleLM/beetlelm_zho_mono,step-19000,19000,zho,3.3422,28.28
BeetleLM/beetlelm_zho_mono,step-20000,20000,zho,3.3742,29.2
BeetleLM/beetlelm_zho_mono,step-21000,21000,zho,3.2569,25.97
BeetleLM/beetlelm_zho_mono,step-22000,22000,zho,3.2303,25.29
BeetleLM/beetlelm_zho_mono,step-23000,23000,zho,3.241,25.56
BeetleLM/beetlelm_zho_mono,step-24000,24000,zho,3.2168,24.95
BeetleLM/beetlelm_zho_mono,step-25000,25000,zho,3.2224,25.09
BeetleLM/beetlelm_zho_mono,step-26000,26000,zho,3.2253,25.16
BeetleLM/beetlelm_zho_mono,step-27000,27000,zho,3.2883,26.8
BeetleLM/beetlelm_zho_mono,step-28000,28000,zho,3.2521,25.84
BeetleLM/beetlelm_zho_mono,step-29000,29000,zho,3.3389,28.19
BeetleLM/beetlelm_zho_mono,step-30000,30000,zho,3.3355,28.09
