,BeetleLM/beetlelm_bul_mono,BeetleLM/beetlelm_zho-bul_balanced,BeetleLM/beetlelm_nld-bul_balanced,BeetleLM/beetlelm_bul-ukr_balanced,BeetleLM/beetlelm_bul-ind_balanced,BeetleLM/beetlelm_bul-fra_balanced,BeetleLM/beetlelm_bul-deu_balanced,BeetleLM/beetlelm_bul-fra_simultaneous,BeetleLM/beetlelm_eng-bul_simultaneous,BeetleLM/beetlelm_bul-deu_simultaneous,BeetleLM/beetlelm_bul-ukr_sequential,BeetleLM/beetlelm_bul-fra_sequential,BeetleLM/beetlelm_bul-deu_sequential,BeetleLM/beetlelm_fas-bul_part_time,BeetleLM/beetlelm_bul-ukr_part_time,BeetleLM/beetlelm_bul-fra_part_time,BeetleLM/beetlelm_eng-bul_part_time,BeetleLM/beetlelm_bul-deu_part_time,BeetleLM/beetlelm_nld-bul_late,BeetleLM/beetlelm_zho-bul_late,BeetleLM/beetlelm_bul-ukr_late,BeetleLM/beetlelm_bul-fra_late,BeetleLM/beetlelm_bul-deu_late,BeetleLM/beetlelm_zho-bul_heritage,BeetleLM/beetlelm_nld-bul_heritage,BeetleLM/beetlelm_fas-bul_heritage,BeetleLM/beetlelm_eng-bul_heritage,BeetleLM/beetlelm_bul-ukr_heritage,BeetleLM/beetlelm_bul-fra_heritage,BeetleLM/beetlelm_bul-ind_heritage
BeetleLM/beetlelm_bul_mono,0.9999999999999998,0.9862564170785225,0.9900619477682616,0.9854253191770694,0.9897686701589261,0.9882767068376883,0.9843076219234951,0.9882903345370867,0.9857772367497187,0.9843177947979238,0.9854920226579678,0.9882894696057379,0.9843339730761936,0.9890972946840441,0.9855086295230611,0.988464137311461,0.9857765243444071,0.9843686624447238,0.9899935857994746,0.9860532541789485,0.985703868965122,0.9884248894687999,0.984404461135404,0.9861380705522746,0.9899901995841619,0.9891271846106491,0.9857879097182306,0.9854353459221644,0.9882835761930279,0.9897581353474145
BeetleLM/beetlelm_zho-bul_balanced,0.9862564170785225,1.0000000000000002,0.9873956221884733,0.9826144383014924,0.9835182472339481,0.9829895846950673,0.9812183759397638,0.9829891837070798,0.9841438976352097,0.9812325005987066,0.9826961849586184,0.9829709446690034,0.981237529372476,0.9862622828603356,0.9827243928002191,0.9830737062535391,0.9841595242551793,0.9812470086698316,0.987383300556263,0.9999922555612945,0.9828433977518817,0.9830757361038959,0.9813104094053487,0.9999943195468922,0.9873980474540276,0.986277048341709,0.9841552391815648,0.9826180733407952,0.9829832089570076,0.9835157883265423
BeetleLM/beetlelm_nld-bul_balanced,0.9900619477682616,0.9873956221884733,1.0000000000000002,0.9820291704939401,0.9865133080688148,0.9886940860872623,0.9810541521838165,0.9887321145501041,0.9892260092299463,0.98106955690327,0.982131358800694,0.9886956229663588,0.9810743667402086,0.9895630504042975,0.9821601539177274,0.9888769249434867,0.9892481814880892,0.9810989986851135,0.999993888895062,0.9872455404218338,0.9823759234741071,0.9888572483809199,0.9811810005838917,0.987286984386595,0.999996094782476,0.9895776608270316,0.9892274534258513,0.9820308636132813,0.9887133294059302,0.9864993804272019
BeetleLM/beetlelm_bul-ukr_balanced,0.9854253191770694,0.9826144383014924,0.9820291704939401,0.9999999999999998,0.9894613319519049,0.9862139680536535,0.9839330597176951,0.9862042434031089,0.9843379499285153,0.9839629659788245,0.9999991482058862,0.9861927563444814,0.983952188256211,0.9856692318117855,0.9999977765833811,0.9862591359513507,0.9843302886417562,0.9838923537866219,0.9820175779194122,0.9825731799348545,0.9999902616490297,0.9862288547489686,0.9839661667183944,0.9826350886800375,0.9820380689259546,0.9857011546699358,0.9843689288045595,0.9999998220283443,0.9861993386837389,0.9894595020664141
BeetleLM/beetlelm_bul-ind_balanced,0.9897686701589261,0.9835182472339481,0.9865133080688148,0.9894613319519049,1.0000000000000002,0.9897084686762789,0.984368908140063,0.989713877868957,0.9868874292762265,0.9843954870030108,0.9894960343286681,0.9896976138872238,0.9844020592367471,0.9876086613924747,0.9895196094460398,0.9897628492633191,0.9868731028268966,0.9843957114888752,0.9864662309375848,0.9834174115325625,0.9897331974611799,0.9898046834696193,0.9844848821571958,0.9834751562565632,0.986480382775081,0.9876325381576287,0.9868894824309664,0.9894699048437459,0.9897091679951285,0.9999999234173015
BeetleLM/beetlelm_bul-fra_balanced,0.9882767068376883,0.9829895846950673,0.9886940860872623,0.9862139680536535,0.9897084686762789,0.9999999999999997,0.9851699052306654,0.9999995016448894,0.9868325024680603,0.9851849096430567,0.9862680172728624,0.9999996995791944,0.9851906129709836,0.9894523452788826,0.9862685053648206,0.9999948009264441,0.9868335642964673,0.9851702945117033,0.9887407468439722,0.982919397183259,0.9864618544410461,0.999991670524206,0.9852060013553845,0.9830932024624213,0.9887031207229227,0.9894668081059286,0.9868415897253798,0.9861982032928301,0.9999995970569263,0.9896926436695025
BeetleLM/beetlelm_bul-deu_balanced,0.9843076219234951,0.9812183759397638,0.9810541521838165,0.9839330597176951,0.984368908140063,0.9851699052306654,0.9999999999999998,0.9851936297613647,0.9837476850789568,0.999999838481387,0.9839889538779709,0.9851869667778062,0.9999994282433536,0.9862367678189368,0.9839923378741345,0.9852842887839557,0.9837799378351789,0.9999986178411423,0.9810635203455864,0.9810977379733682,0.9840431954688559,0.9851342585696893,0.9999961435501089,0.9811884944271744,0.9810835766944963,0.9862539596206318,0.9837376047343899,0.9839532883270975,0.9851863742217523,0.9843508394414962
BeetleLM/beetlelm_bul-fra_simultaneous,0.9882903345370867,0.9829891837070798,0.9887321145501041,0.9862042434031089,0.989713877868957,0.9999995016448894,0.9851936297613647,1.0,0.9868603937713404,0.9852086924754576,0.9862587885148695,0.999999720133391,0.9852147838548971,0.9894603415805667,0.9862597917510942,0.9999960753743474,0.9868609846221355,0.985194892558659,0.9887768456206544,0.9829168696690547,0.9864534425835266,0.9999934291370725,0.9852309988467984,0.9830917427549871,0.9887415012389202,0.989475082347886,0.9868695640578087,0.9861886779290538,0.9999999292816598,0.9896981038970096
BeetleLM/beetlelm_eng-bul_simultaneous,0.9857772367497187,0.9841438976352097,0.9892260092299463,0.9843379499285153,0.9868874292762265,0.9868325024680603,0.9837476850789568,0.9868603937713404,1.0,0.9837609546729713,0.9843770683084391,0.9868253872313354,0.9837588191930338,0.98797592029329,0.9843954956890102,0.986938957760983,0.9999984838354276,0.9837635414286237,0.9892017647620192,0.9841021116312519,0.9845107653761659,0.9869305029880747,0.9838419275111033,0.9841706647442582,0.9892057368366423,0.9879769049467197,0.9999997881142192,0.9843399828458732,0.9868485337389541,0.9868771499724954
BeetleLM/beetlelm_bul-deu_simultaneous,0.9843177947979238,0.9812325005987066,0.98106955690327,0.9839629659788245,0.9843954870030108,0.9851849096430567,0.999999838481387,0.9852086924754576,0.9837609546729713,1.0000000000000002,0.9840188420287672,0.9852019332899907,0.9999997336369252,0.9862516114265557,0.9840225782157226,0.9852995592681347,0.9837924940170968,0.9999988394696866,0.981078037052524,0.9811112687885121,0.9840730175947372,0.9851497483470206,0.9999968108467586,0.9812029002599161,0.9810996309556731,0.9862692419040356,0.9837510781354105,0.9839833320974392,0.9852014594549033,0.9843775834089231
