,BeetleLM/beetlelm_eng-nld_balanced,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,BeetleLM/beetlelm_zho-eng_balanced,BeetleLM/beetlelm_fas-eng_balanced,BeetleLM/beetlelm_eng-nld_simultaneous,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,BeetleLM/beetlelm_eng-bul_simultaneous,BeetleLM/beetlelm_fas-eng_part_time,BeetleLM/beetlelm_eng-fra_part_time,BeetleLM/beetlelm_eng-bul_part_time,BeetleLM/beetlelm_fas-eng_late,BeetleLM/beetlelm_eng-deu_heritage,BeetleLM/beetlelm_eng-fra_heritage,BeetleLM/beetlelm_eng-bul_heritage
BeetleLM/beetlelm_eng-nld_balanced,1.0000000000000002,0.9999939123779354,0.9866461577436173,0.9884335512881202,0.9885432386605881,0.9857683499957213,0.9999990230855363,0.9999939195620842,0.9865775472286663,0.9866217721208983,0.9884297550658422,0.9876436286256697,0.985708769871056,0.9857235298567895,0.9876673470832324,0.985708769871056,0.9864942184852864,0.9857126477075159,0.987646733267861
BeetleLM/beetlelm_nld_L1-eng_L2_balanced,0.9999939123779354,1.0,0.9866969221268548,0.988600198956324,0.988700619193562,0.985752793400821,0.9999895330150992,0.9999972442216114,0.9866292829279484,0.9866683389983089,0.9885952588748924,0.9877521624728458,0.9856873820885511,0.9856932050061414,0.9877746696218478,0.9856873820885511,0.9865232463221272,0.9856837018873302,0.9877551598029088
BeetleLM/beetlelm_eng_L1-deu_L2_balanced,0.9866461577436173,0.9866969221268548,1.0,0.9886474543114823,0.9887645986600844,0.9865551797174912,0.9866480637786608,0.9866722149531243,0.9999888987987744,0.999992764682013,0.9886632763029285,0.9886406391841344,0.9864576335473596,0.9913959043996297,0.9886649670021508,0.9864576335473596,0.9999689973493625,0.9914115226215894,0.9886554239114229
BeetleLM/beetlelm_zho_L1-eng_L2_balanced,0.9884335512881202,0.988600198956324,0.9886474543114823,0.9999999999999998,0.9999935760069159,0.9872914867545508,0.988396443912095,0.9886259670013143,0.9886582990963937,0.9885434036536713,0.999997631276657,0.9885970427641747,0.9871691859039214,0.9864156410369309,0.988593560428834,0.9871691859039214,0.9882436352323624,0.9864453784218544,0.9886114175441677
BeetleLM/beetlelm_zho-eng_balanced,0.9885432386605881,0.988700619193562,0.9887645986600844,0.9999935760069159,0.9999999999999998,0.9873986248385361,0.9885096659629463,0.9887272802250394,0.9887759330813798,0.9886634720032783,0.9999921181446049,0.988642527072495,0.9872830194177156,0.9865921948588925,0.9886403833030991,0.9872830194177156,0.9883814207343308,0.9866204804110165,0.9886569490145345
BeetleLM/beetlelm_fas-eng_balanced,0.9857683499957213,0.985752793400821,0.9865551797174912,0.9872914867545508,0.9873986248385361,1.0,0.9857432068080677,0.9858379977796364,0.9866287945420636,0.9866733679003057,0.9872728318259104,0.9925590419363257,0.9999966157655431,0.9846735423413168,0.9925668856670149,0.9999966157655431,0.9866386021906117,0.9846858016117263,0.9925688331327664
BeetleLM/beetlelm_eng-nld_simultaneous,0.9999990230855363,0.9999895330150992,0.9866480637786608,0.988396443912095,0.9885096659629463,0.9857432068080677,0.9999999999999999,0.9999894910139506,0.9865775570259332,0.9866243697830639,0.9883932118482611,0.9876136906408864,0.9856855736454728,0.9857325860294696,0.9876378695481025,0.9856855736454728,0.9865031691613799,0.9857211540604902,0.9876168215236991
BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,0.9999939195620842,0.9999972442216114,0.9866722149531243,0.9886259670013143,0.9887272802250394,0.9858379977796364,0.9999894910139506,0.9999999999999997,0.9866058129575584,0.986644219856823,0.9886218691797302,0.9877850680052432,0.985772772369974,0.9857139598477582,0.987807598151637,0.985772772369974,0.9865022063652749,0.9857044026550194,0.9877881728634273
BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,0.9865775472286663,0.9866292829279484,0.9999888987987744,0.9886582990963937,0.9887759330813798,0.9866287945420636,0.9865775570259332,0.9866058129575584,1.0000000000000002,0.999980115063984,0.9886739900295011,0.9886024262554639,0.9865308926255114,0.9914063809385368,0.9886266356095661,0.9865308926255114,0.999951598192765,0.991422799255555,0.9886172886273479
BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,0.9866217721208983,0.9866683389983089,0.999992764682013,0.9885434036536713,0.9886634720032783,0.9866733679003057,0.9866243697830639,0.986644219856823,0.999980115063984,0.9999999999999997,0.9885593348223194,0.9886709311452747,0.9865796934340598,0.9914400592210965,0.9886959211822682,0.9865796934340598,0.9999812262181671,0.9914550239844488,0.9886856980604658
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,0.9884297550658422,0.9885952588748924,0.9886632763029285,0.999997631276657,0.9999921181446049,0.9872728318259104,0.9883932118482611,0.9886218691797302,0.9886739900295011,0.9885593348223194,1.0000000000000002,0.9885728399703674,0.9871506318733669,0.9864293963976792,0.9885694459884877,0.9871506318733669,0.9882607366568333,0.9864591458076849,0.9885873883087689
BeetleLM/beetlelm_eng-bul_simultaneous,0.9876436286256697,0.9877521624728458,0.9886406391841344,0.9885970427641747,0.988642527072495,0.9925590419363257,0.9876136906408864,0.9877850680052432,0.9886024262554639,0.9886709311452747,0.9885728399703674,1.0,0.9924717261368129,0.9834076768889192,0.9999998692598732,0.9924717261368129,0.9884276864765669,0.9834207289506158,0.999999959048323
BeetleLM/beetlelm_fas-eng_part_time,0.985708769871056,0.9856873820885511,0.9864576335473596,0.9871691859039214,0.9872830194177156,0.9999966157655431,0.9856855736454728,0.985772772369974,0.9865308926255114,0.9865796934340598,0.9871506318733669,0.9924717261368129,1.0,0.9846275999973085,0.9924804729164817,1.0,0.9865557260733044,0.9846390338991973,0.9924815805286382
BeetleLM/beetlelm_eng-fra_part_time,0.9857235298567895,0.9856932050061414,0.9913959043996297,0.9864156410369309,0.9865921948588925,0.9846735423413168,0.9857325860294696,0.9857139598477582,0.9914063809385368,0.9914400592210965,0.9864293963976792,0.9834076768889192,0.9846275999973085,1.0,0.9834326304878728,0.9846275999973085,0.9914264411088566,0.9999998217757162,0.9834161498858975
BeetleLM/beetlelm_eng-bul_part_time,0.9876673470832324,0.9877746696218478,0.9886649670021508,0.988593560428834,0.9886403833030991,0.9925668856670149,0.9876378695481025,0.987807598151637,0.9886266356095661,0.9886959211822682,0.9885694459884877,0.9999998692598732,0.9924804729164817,0.9834326304878728,0.9999999999999998,0.9924804729164817,0.9884550423610732,0.9834454615021572,0.9999998510069483
BeetleLM/beetlelm_fas-eng_late,0.985708769871056,0.9856873820885511,0.9864576335473596,0.9871691859039214,0.9872830194177156,0.9999966157655431,0.9856855736454728,0.985772772369974,0.9865308926255114,0.9865796934340598,0.9871506318733669,0.9924717261368129,1.0,0.9846275999973085,0.9924804729164817,1.0,0.9865557260733044,0.9846390338991973,0.9924815805286382
