,BeetleLM/beetlelm_fas_mono,BeetleLM/beetlelm_zho-fas_balanced,BeetleLM/beetlelm_fas-ukr_balanced,BeetleLM/beetlelm_fas-eng_balanced,BeetleLM/beetlelm_fas-nld_balanced,BeetleLM/beetlelm_fas-ind_balanced,BeetleLM/beetlelm_fas-bul_balanced,BeetleLM/beetlelm_fas-fra_balanced,BeetleLM/beetlelm_fas-deu_balanced,BeetleLM/beetlelm_fas-deu_simultaneous,BeetleLM/beetlelm_fas-nld_simultaneous,BeetleLM/beetlelm_fas-nld_sequential,BeetleLM/beetlelm_fas-deu_sequential,BeetleLM/beetlelm_fas-ind_part_time,BeetleLM/beetlelm_fas-bul_part_time,BeetleLM/beetlelm_fas-eng_part_time,BeetleLM/beetlelm_fas-nld_part_time,BeetleLM/beetlelm_fas-deu_part_time,BeetleLM/beetlelm_zho-fas_late,BeetleLM/beetlelm_fas-ind_late,BeetleLM/beetlelm_fas-eng_late,BeetleLM/beetlelm_fas-ukr_late,BeetleLM/beetlelm_fas-nld_late,BeetleLM/beetlelm_fas-deu_late,BeetleLM/beetlelm_zho-fas_heritage,BeetleLM/beetlelm_fas-ukr_heritage,BeetleLM/beetlelm_fas-ind_heritage,BeetleLM/beetlelm_fas-bul_heritage,BeetleLM/beetlelm_fas-fra_heritage,BeetleLM/beetlelm_fas-deu_heritage
BeetleLM/beetlelm_fas_mono,1.0000000000000002,0.993148723271097,0.9849093701864348,0.988546039873778,0.9875228362021786,0.9872294611035207,0.990018406266802,0.9922629411812254,0.9888116538300895,0.9888309049264435,0.9875069187150147,0.9875009893681688,0.9888309817526156,0.9872244198611544,0.9899959289802157,0.9885180769387724,0.9875009893681688,0.9888309817526156,0.99319054275425,0.9872244198611544,0.9885180769387724,0.9849279008030423,0.9875009893681688,0.9888309817526156,0.9931239616734093,0.9849348715173444,0.9872369473837769,0.9900053818704416,0.9922467935468053,0.9888347972696209
BeetleLM/beetlelm_zho-fas_balanced,0.993148723271097,1.0000000000000002,0.983581005837185,0.9869947703173213,0.9841250732490895,0.9869020912605485,0.9868089672727747,0.9896648951469333,0.9891491631862094,0.9891719973464026,0.9840979410426884,0.9840874058548893,0.9891744450073902,0.9869097192673073,0.9867413987704984,0.9869493285162216,0.9840874058548893,0.9891744450073902,0.9999982327514526,0.9869097192673073,0.9869493285162216,0.9836055828477871,0.9840874058548893,0.9891744450073902,0.9999979120099043,0.983618426877277,0.9869116701568359,0.9867516685272383,0.9896430758495115,0.9891718667183436
BeetleLM/beetlelm_fas-ukr_balanced,0.9849093701864348,0.983581005837185,1.0,0.9864380741970307,0.9876888116711502,0.9885507736319891,0.9837657394048882,0.9878391904373405,0.9907024640837059,0.9907003192387664,0.9876871317412821,0.9876914422312263,0.9907066852163027,0.9885352961996605,0.9837300862909247,0.9864263284143321,0.9876914422312263,0.9907066852163027,0.9836254759129442,0.9885352961996605,0.9864263284143321,0.9999998973445726,0.9876914422312263,0.9907066852163027,0.9835274165822777,0.9999998065430644,0.988550468731114,0.983729241776568,0.9878377836354997,0.990708133817265
BeetleLM/beetlelm_fas-eng_balanced,0.988546039873778,0.9869947703173213,0.9864380741970307,1.0,0.9835152061968607,0.9872789024544278,0.9865709302328511,0.9872971301061623,0.987217160184658,0.987235626678558,0.983513445491477,0.9835086414518508,0.9872411559198859,0.9872868250141843,0.9865620023383915,0.9999994587302775,0.9835086414518508,0.9872411559198859,0.9870511523938592,0.9872868250141843,0.9999994587302775,0.9864602667717888,0.9835086414518508,0.9872411559198859,0.9869349327942966,0.9864675197348858,0.9872931149748422,0.9865649448775761,0.987278778776499,0.9872386916996433
BeetleLM/beetlelm_fas-nld_balanced,0.9875228362021786,0.9841250732490895,0.9876888116711502,0.9835152061968607,1.0,0.9878056418352957,0.9849783437095104,0.9873155468932799,0.9895074383441383,0.9895252239084392,0.9999995503362695,0.999999258451361,0.9895287857056454,0.987788627878259,0.9849429485358673,0.9835102585416033,0.999999258451361,0.9895287857056454,0.9841980357854382,0.987788627878259,0.9835102585416033,0.9876992458957274,0.999999258451361,0.9895287857056454,0.9840697013786808,0.987700082901329,0.9878096008907384,0.9849507652708116,0.9873114082159471,0.9895282479480372
BeetleLM/beetlelm_fas-ind_balanced,0.9872294611035207,0.9869020912605485,0.9885507736319891,0.9872789024544278,0.9878056418352957,1.0000000000000002,0.9846918780113066,0.990828398347129,0.9899334085934797,0.9899493586272313,0.9878011117277242,0.987794098633448,0.9899584154386692,0.99999986234481,0.9846515633417606,0.9872593746818547,0.987794098633448,0.9899584154386692,0.9869785974181895,0.99999986234481,0.9872593746818547,0.9885718541292452,0.987794098633448,0.9899584154386692,0.9868260293471529,0.9885766125438864,0.9999999624833342,0.9846581405196212,0.9908281937187234,0.9899472324677744
BeetleLM/beetlelm_fas-bul_balanced,0.990018406266802,0.9868089672727747,0.9837657394048882,0.9865709302328511,0.9849783437095104,0.9846918780113066,1.0000000000000002,0.9914862258572122,0.9850840629951029,0.9850861501489664,0.9849900765704206,0.984984822593866,0.9850983962539026,0.9846848840470748,0.999999311312495,0.9865750735804282,0.984984822593866,0.9850983962539026,0.9869095514678777,0.9846848840470748,0.9865750735804282,0.983772159221826,0.984984822593866,0.9850983962539026,0.9867042891576754,0.9837760291937864,0.9846999272088844,0.9999995207267799,0.9914922942609745,0.985099901884155
BeetleLM/beetlelm_fas-fra_balanced,0.9922629411812254,0.9896648951469333,0.9878391904373405,0.9872971301061623,0.9873155468932799,0.990828398347129,0.9914862258572122,1.0000000000000002,0.9896066733096809,0.9896176536652806,0.9873147695354747,0.9873053321234833,0.9896243053577863,0.9908161166443485,0.9914683254468035,0.9872815094018165,0.9873053321234833,0.9896243053577863,0.9897144919446087,0.9908161166443485,0.9872815094018165,0.9878504769862531,0.9873053321234833,0.9896243053577863,0.9896196880927302,0.9878550924895567,0.9908300778379765,0.9914753018140063,0.9999998388866118,0.9896227437420849
BeetleLM/beetlelm_fas-deu_balanced,0.9888116538300895,0.9891491631862094,0.9907024640837059,0.987217160184658,0.9895074383441383,0.9899334085934797,0.9850840629951029,0.9896066733096809,1.0000000000000002,0.9999998370505936,0.9895093670680325,0.9895122893657979,0.9999998532795041,0.9899161417954191,0.9850586119453039,0.9872081231984725,0.9895122893657979,0.9999998532795041,0.9892052973791454,0.9899161417954191,0.9872081231984725,0.9907010794775333,0.9895122893657979,0.9999998532795041,0.9891195584954022,0.990698873726498,0.9899315256045017,0.9850556361416165,0.9896046642417978,0.9999998939338615
BeetleLM/beetlelm_fas-deu_simultaneous,0.9888309049264435,0.9891719973464026,0.9907003192387664,0.987235626678558,0.9895252239084392,0.9899493586272313,0.9850861501489664,0.9896176536652806,0.9999998370505936,1.0,0.9895269099681901,0.989529715521154,0.9999999827973937,0.9899323416894831,0.9850603797722383,0.9872263610434447,0.989529715521154,0.9999999827973937,0.9892275356120281,0.9899323416894831,0.9872263610434447,0.9906991282697766,0.989529715521154,0.9999999827973937,0.9891429210683421,0.9906969928937013,0.9899475579359654,0.9850574929193265,0.9896153945730087,0.9999999770244908
