,BeetleLM/beetlelm_fra_mono,BeetleLM/beetlelm_zho-fra_balanced,BeetleLM/beetlelm_nld-fra_balanced,BeetleLM/beetlelm_fra-ind_balanced,BeetleLM/beetlelm_fra-deu_balanced,BeetleLM/beetlelm_fra-ukr_balanced,BeetleLM/beetlelm_fas-fra_balanced,BeetleLM/beetlelm_eng-fra_balanced,BeetleLM/beetlelm_bul-fra_balanced,BeetleLM/beetlelm_bul-fra_simultaneous,BeetleLM/beetlelm_fra-ukr_sequential,BeetleLM/beetlelm_bul-fra_sequential,BeetleLM/beetlelm_zho-fra_part_time,BeetleLM/beetlelm_fra-ukr_part_time,BeetleLM/beetlelm_eng-fra_part_time,BeetleLM/beetlelm_bul-fra_part_time,BeetleLM/beetlelm_zho-fra_late,BeetleLM/beetlelm_fra-ind_late,BeetleLM/beetlelm_fra-ukr_late,BeetleLM/beetlelm_bul-fra_late,BeetleLM/beetlelm_nld-fra_heritage,BeetleLM/beetlelm_zho-fra_heritage,BeetleLM/beetlelm_fra-ukr_heritage,BeetleLM/beetlelm_fra-ind_heritage,BeetleLM/beetlelm_eng-fra_heritage,BeetleLM/beetlelm_fas-fra_heritage,BeetleLM/beetlelm_bul-fra_heritage
BeetleLM/beetlelm_fra_mono,1.0,0.9886175167257297,0.9887375265665816,0.9885826508834683,0.9894510070753217,0.9924807771608497,0.9825237865420149,0.9826879305637747,0.9880756081224393,0.9880516854302934,0.9924833543487286,0.988131352874031,0.9886796926859472,0.9924833543487286,0.9826785910605593,0.9881379104154191,0.9886380921862153,0.9885895354992846,0.9924833543487286,0.9880275695203361,0.9886845207931108,0.9886304432130202,0.9924789348729193,0.9885880376384353,0.9826947806714038,0.982503084228927,0.988060162492736
BeetleLM/beetlelm_zho-fra_balanced,0.9886175167257297,1.0000000000000002,0.9866415543403336,0.9853334243463482,0.986300771729878,0.9838484336461689,0.9814717563183251,0.9823305229253494,0.9884129307091842,0.9883936869627017,0.9838459274393474,0.9884437133829569,0.99999229912933,0.9838459274393474,0.9823354173680805,0.9884422631507543,0.9999948710311538,0.9853354556974211,0.9838459274393474,0.9884202946931246,0.9866088072936051,0.999998457557219,0.9838423691969201,0.9853339204525029,0.9823274828841972,0.9814608448369688,0.9883903611785101
BeetleLM/beetlelm_nld-fra_balanced,0.9887375265665816,0.9866415543403336,1.0,0.9904771706572807,0.9842854870426682,0.9896924772562413,0.985393858638344,0.9846772192040154,0.9878425295725883,0.9878110235858376,0.9896955961144902,0.9878692170625729,0.9865945257127714,0.9896955961144902,0.9846573906818596,0.9878631713978393,0.9865794242741339,0.9904835336725989,0.9896955961144902,0.9880260295204583,0.9999985581175714,0.9866648623668368,0.9896940263190123,0.9904841132996863,0.9846890162022618,0.9853706706688155,0.9878262341937186
BeetleLM/beetlelm_fra-ind_balanced,0.9885826508834683,0.9853334243463482,0.9904771706572807,1.0000000000000002,0.985217204782743,0.989652775772669,0.98602248639994,0.9853515853929576,0.9853898224095639,0.9853473940954766,0.9896596325593486,0.9853642106342839,0.9852961100955591,0.9896596325593486,0.9853428327994744,0.985343634586888,0.9853104530061647,0.9999999351487416,0.9896596325593486,0.9853053649225293,0.9904696156503495,0.9853154882081262,0.9896555785431347,0.9999999222496254,0.9853418248267499,0.9860073395286505,0.9853467513233815
BeetleLM/beetlelm_fra-deu_balanced,0.9894510070753217,0.986300771729878,0.9842854870426682,0.985217204782743,1.0,0.9835801978123985,0.9811195432991061,0.9786711513302283,0.9845329776652854,0.9844997994273162,0.9835785126910669,0.9845503059096796,0.9862587584513306,0.9835785126910669,0.9786393591308833,0.9845584408593383,0.9862279792082757,0.9852319827199161,0.9835785126910669,0.9844282943465029,0.9842737863331598,0.9863320158343821,0.9835758037268161,0.9852296307678573,0.9786763704287219,0.9810805971079936,0.9845035767554179
BeetleLM/beetlelm_fra-ukr_balanced,0.9924807771608497,0.9838484336461689,0.9896924772562413,0.989652775772669,0.9835801978123985,1.0,0.9829592712211884,0.9870551500290097,0.9897938555666397,0.9897951224433696,0.9999999620607573,0.9897988715324191,0.9838515076231227,0.9999999620607573,0.9870104943746774,0.9897946813206038,0.9837908958309469,0.9896680058169259,0.9999999620607573,0.9898364604784032,0.9897006627277756,0.983869046975985,0.9999999661153184,0.9896681852586177,0.9870735473026049,0.9829196080876664,0.9898199014148736
BeetleLM/beetlelm_fas-fra_balanced,0.9825237865420149,0.9814717563183251,0.985393858638344,0.98602248639994,0.9811195432991061,0.9829592712211884,1.0,0.9845933360265945,0.9881966871110764,0.9881592974535652,0.9829682533916492,0.9881892295279224,0.981390294134632,0.9829682533916492,0.9846273292100844,0.9881708808226501,0.981438585437779,0.9860167618471278,0.9829682533916492,0.9880570520983317,0.9853689588562053,0.9814456570682573,0.9829679033341296,0.9860137007363278,0.984574464692279,0.9999997211262426,0.9881543248445406
BeetleLM/beetlelm_eng-fra_balanced,0.9826879305637747,0.9823305229253494,0.9846772192040154,0.9853515853929576,0.9786711513302283,0.9870551500290097,0.9845933360265945,0.9999999999999998,0.9857970895364885,0.9857500541047964,0.987071854692919,0.9857802093183448,0.9824159969465289,0.987071854692919,0.9999991978721606,0.9857641065755673,0.982387039530056,0.9853509977330521,0.987071854692919,0.985836717564215,0.9846095701081758,0.9822929014747905,0.987069302656333,0.9853487287178266,0.9999994404721689,0.9845997776357739,0.9857706527381317
BeetleLM/beetlelm_bul-fra_balanced,0.9880756081224393,0.9884129307091842,0.9878425295725883,0.9853898224095639,0.9845329776652854,0.9897938555666397,0.9881966871110764,0.9857970895364885,0.9999999999999997,0.999999194036373,0.9897984136637183,0.9999976812570415,0.9884153825756493,0.9897984136637183,0.9857789187358242,0.9999965862191043,0.988369651829363,0.9853931294344528,0.9897984136637183,0.9999692597751038,0.9878416165119297,0.9884150133312839,0.9897958252104921,0.9853900685840007,0.9857967209666638,0.9881724267102389,0.9999984237115824
BeetleLM/beetlelm_bul-fra_simultaneous,0.9880516854302934,0.9883936869627017,0.9878110235858376,0.9853473940954766,0.9844997994273162,0.9897951224433696,0.9881592974535652,0.9857500541047964,0.999999194036373,1.0000000000000002,0.9897994627186494,0.9999981148177496,0.9883981945195699,0.9897994627186494,0.9857316198867916,0.999997513186024,0.988349851853656,0.9853508259751975,0.9897994627186494,0.9999691341564594,0.9878115893471056,0.9883974751503405,0.9897968854877912,0.9853478260058277,0.9857506733696264,0.9881345527592973,0.9999997422643866
