,BeetleLM/beetlelm_nld_mono,BeetleLM/beetlelm_eng-nld_balanced,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,BeetleLM/beetlelm_nld-ukr_balanced,BeetleLM/beetlelm_nld-fra_balanced,BeetleLM/beetlelm_nld-deu_balanced,BeetleLM/beetlelm_nld-ind_balanced,BeetleLM/beetlelm_nld-bul_balanced,BeetleLM/beetlelm_zho-nld_balanced,BeetleLM/beetlelm_eng-nld_simultaneous,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,BeetleLM/beetlelm_fas-nld_simultaneous,BeetleLM/beetlelm_fas-nld_sequential,BeetleLM/beetlelm_fas-nld_part_time,BeetleLM/beetlelm_nld-deu_part_time,BeetleLM/beetlelm_nld-bul_late,BeetleLM/beetlelm_fas-nld_late,BeetleLM/beetlelm_nld-fra_heritage,BeetleLM/beetlelm_nld-bul_heritage
BeetleLM/beetlelm_nld_mono,1.0000000000000002,0.983159026210022,0.9831471334083026,0.9865961835097362,0.9865168308074068,0.9897652055854866,0.9853651917300493,0.9835499362864305,0.9820258840947825,0.9831643531877812,0.9832197251412799,0.9853843392692226,0.9853773479299038,0.9853773479299038,0.989857804291315,0.9834636486829439,0.9853773479299038,0.9865222201712683,0.983513207005567
BeetleLM/beetlelm_eng-nld_balanced,0.983159026210022,1.0000000000000002,0.9999964820769489,0.9871843162651974,0.9836408368575281,0.985900822217576,0.9836487995948815,0.9842092800958441,0.9864507449167098,0.999999211988226,0.9999958275477855,0.9870171206453022,0.987038895655171,0.987038895655171,0.986079251074884,0.9840734832916654,0.987038895655171,0.9836417321308542,0.9841346440120137
BeetleLM/beetlelm_nld_L1-eng_L2_balanced,0.9831471334083026,0.9999964820769489,1.0,0.9872318342378135,0.9836668058052446,0.9858176870280253,0.9836340743188835,0.9842229567915612,0.986521423157636,0.9999939617593192,0.9999977442204129,0.9870341158776317,0.9870547123905945,0.9870547123905945,0.9859999500065044,0.9840822571245942,0.9870547123905945,0.9836692930379035,0.9841451874538383
BeetleLM/beetlelm_nld-ukr_balanced,0.9865961835097362,0.9871843162651974,0.9872318342378135,1.0000000000000002,0.9862992905027136,0.988295219261398,0.9898608050075277,0.985702384562032,0.986557420327238,0.9871969751056209,0.9873007330319145,0.9851534019460397,0.9851578114447395,0.9851578114447395,0.9884369434091347,0.985573027807616,0.9851578114447395,0.9863181821386205,0.9856536713477542
BeetleLM/beetlelm_nld-fra_balanced,0.9865168308074068,0.9836408368575281,0.9836668058052446,0.9862992905027136,1.0,0.9897479302431219,0.9906915392800876,0.9883205956241706,0.9886760544695866,0.9836694903202825,0.9837022430615453,0.9867262640624873,0.9867326898079417,0.9867326898079417,0.9897639685096149,0.9882882341197422,0.9867326898079417,0.9999994746754547,0.9882716042684013
BeetleLM/beetlelm_nld-deu_balanced,0.9897652055854866,0.985900822217576,0.9858176870280253,0.988295219261398,0.9897479302431219,0.9999999999999998,0.9878993743176471,0.9860712123475741,0.9868237586308205,0.9859356028193471,0.9858775067892656,0.9864443073195054,0.9864520493683282,0.9864520493683282,0.999996062494082,0.9860681943116025,0.9864520493683282,0.9897257031645939,0.9860877902768669
BeetleLM/beetlelm_nld-ind_balanced,0.9853651917300493,0.9836487995948815,0.9836340743188835,0.9898608050075277,0.9906915392800876,0.9878993743176471,1.0,0.9885467241274808,0.9843358145558769,0.9836991181358,0.9837182644571429,0.9886989659631453,0.988714471764395,0.988714471764395,0.9879784804739993,0.9885260372982735,0.988714471764395,0.9906745507348311,0.9885483269511693
BeetleLM/beetlelm_nld-bul_balanced,0.9835499362864305,0.9842092800958441,0.9842229567915612,0.985702384562032,0.9883205956241706,0.9860712123475741,0.9885467241274808,1.0,0.9897170481943648,0.984240447479573,0.9843018299420958,0.9886548789343154,0.9886790094114827,0.9886790094114827,0.9862265202093372,0.9999932751222832,0.9886790094114827,0.9883214897318713,0.9999962916146221
BeetleLM/beetlelm_zho-nld_balanced,0.9820258840947825,0.9864507449167098,0.986521423157636,0.986557420327238,0.9886760544695866,0.9868237586308205,0.9843358145558769,0.9897170481943648,1.0000000000000002,0.9864349371584181,0.986527817469569,0.9879268553516752,0.9879092798416343,0.9879092798416343,0.9870579430978739,0.9895732710906806,0.9879092798416343,0.9886881996743095,0.9896548141298402
BeetleLM/beetlelm_eng-nld_simultaneous,0.9831643531877812,0.999999211988226,0.9999939617593192,0.9871969751056209,0.9836694903202825,0.9859356028193471,0.9836991181358,0.984240447479573,0.9864349371584181,1.0000000000000002,0.9999935268828175,0.9870687716874733,0.987090950609956,0.987090950609956,0.9861122745106407,0.9841064207187789,0.987090950609956,0.983669572869074,0.9841668086058347
