iso_code,repo,revision,bilingual_type,shared_vocab_pct,n_shared,mean_cosine_dist,std_cosine_dist,median_cosine_dist,probe_на_cosine_dist,probe_и_cosine_dist,probe_в_cosine_dist,probe_да_cosine_dist,probe_се_cosine_dist,probe_е_cosine_dist,probe_не_cosine_dist,probe_с_cosine_dist,probe_за_cosine_dist,probe_от_cosine_dist
bul,BeetleLM/beetlelm_zho-bul_balanced,step-30569,balanced,63.13,702,0.9904075860977173,0.10618606954813004,1.000577688217163,1.016,1.0183,1.0824,0.9835,1.051,0.9853,1.0187,1.0084,1.0332,1.0555
bul,BeetleLM/beetlelm_nld-bul_balanced,step-30569,balanced,74.73,831,0.9918236136436462,0.09848380088806152,0.9991801381111145,0.9621,1.0166,0.8939,0.9644,0.9911,1.0295,0.9795,0.9955,1.0244,0.968
bul,BeetleLM/beetlelm_bul-ukr_balanced,step-5000,balanced,75.72,842,0.9915951490402222,0.0980239063501358,1.0006065368652344,1.0203,1.0206,0.9744,0.9352,1.0055,1.0923,0.9575,0.9594,0.9654,0.9784
bul,BeetleLM/beetlelm_bul-ind_balanced,step-2444,balanced,74.01,823,0.9893268346786499,0.09868968278169632,0.9981464147567749,0.9945,0.9943,1.0509,0.9761,1.0599,0.9487,0.9603,0.9711,1.0089,0.9969
bul,BeetleLM/beetlelm_bul-fra_balanced,step-8000,balanced,75.18,836,0.9920098185539246,0.09801092743873596,0.9999221563339233,0.9961,0.9606,0.9379,0.9695,1.0028,1.0059,0.975,0.9714,1.0354,0.9784
bul,BeetleLM/beetlelm_bul-deu_balanced,step-4000,balanced,74.37,827,0.9913456439971924,0.0981643795967102,1.0002570152282715,1.0301,1.0207,0.9744,0.9741,1.0385,1.0925,0.9744,0.9596,0.9733,0.9754
bul,BeetleLM/beetlelm_bul-fra_simultaneous,step-16000,simultaneous,75.18,836,0.9919859766960144,0.0980014055967331,0.9999479055404663,0.996,0.9608,0.9381,0.9695,1.0029,1.0059,0.975,0.9713,1.0354,0.9786
bul,BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,simultaneous,75.81,843,0.9920462369918823,0.09724457561969757,1.0012788772583008,1.0074,0.9575,1.0187,0.9871,1.0572,0.9492,1.0042,1.0634,1.0912,1.0062
bul,BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,simultaneous,74.37,827,0.9913347959518433,0.09816283732652664,1.0002055168151855,1.03,1.0207,0.9745,0.9741,1.0385,1.0925,0.9744,0.9595,0.9733,0.9754
bul,BeetleLM/beetlelm_bul-ukr_sequential,step-17000,sequential,75.72,842,0.9915874600410461,0.09801667183637619,1.0004785060882568,1.0204,1.0209,0.9747,0.9349,1.0054,1.0925,0.9579,0.959,0.9653,0.9782
