iso_code,repo,revision,bilingual_type,shared_vocab_pct,n_shared,mean_cosine_dist,std_cosine_dist,median_cosine_dist,probe_و_cosine_dist,probe_در_cosine_dist,probe_به_cosine_dist,probe_از_cosine_dist,probe_که_cosine_dist,probe_را_cosine_dist,probe_با_cosine_dist,probe_این_cosine_dist,probe_است_cosine_dist,probe_بود_cosine_dist
fas,BeetleLM/beetlelm_zho-fas_balanced,step-16000,balanced,79.38,866,0.9943024516105652,0.08395808935165405,1.000109076499939,0.9104,0.9982,0.9988,1.0939,1.02,0.9262,1.0148,1.0158,1.0557,0.9232
fas,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,balanced,85.98,938,0.9940100908279419,0.08768898248672485,0.9990658760070801,0.9739,0.9568,1.023,1.0219,1.0048,0.9495,0.9717,1.0555,0.9667,1.0564
fas,BeetleLM/beetlelm_fas-eng_balanced,step-16000,balanced,89.0,971,0.9940433502197266,0.08046985417604446,0.9996299147605896,0.9961,1.07,1.0276,1.0003,1.0125,1.0513,1.0402,1.0314,0.9265,1.034
fas,BeetleLM/beetlelm_fas-nld_balanced,step-16000,balanced,88.73,968,0.9961899518966675,0.08114339411258698,1.00263249874115,1.0219,0.9513,0.93,0.9525,0.9221,1.0876,1.0122,0.9887,0.9724,1.0334
fas,BeetleLM/beetlelm_fas-ind_balanced,step-2444,balanced,87.81,958,0.9947210550308228,0.08065490424633026,1.001077651977539,0.9709,1.0245,0.9695,1.0345,1.0138,1.0706,1.0325,0.9376,1.0173,1.0169
fas,BeetleLM/beetlelm_fas-bul_balanced,step-16000,balanced,86.71,946,0.9936162233352661,0.08129187673330307,0.9987590312957764,1.0568,1.055,1.0184,1.0024,0.9642,1.0875,1.0058,1.0032,1.0713,1.0337
fas,BeetleLM/beetlelm_fas-fra_balanced,step-8000,balanced,88.36,964,0.9938106536865234,0.0806281641125679,0.9985377192497253,0.9987,0.9873,0.9598,0.9921,0.9369,0.9922,1.0198,0.9671,1.0186,1.0338
fas,BeetleLM/beetlelm_fas-deu_balanced,step-4000,balanced,87.72,957,0.9958003759384155,0.08034412562847137,1.0017311573028564,0.9568,1.0378,1.0382,1.0198,0.99,0.9774,1.0348,1.0293,1.0094,1.0129
fas,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,simultaneous,87.72,957,0.9957951307296753,0.08034218102693558,1.0017387866973877,0.9567,1.0378,1.0382,1.0199,0.99,0.9774,1.0348,1.0293,1.0094,1.0128
fas,BeetleLM/beetlelm_fas-nld_simultaneous,step-10000,simultaneous,88.73,968,0.9961779713630676,0.08114343136548996,1.0023645162582397,1.022,0.9512,0.9299,0.9524,0.9219,1.0875,1.012,0.9888,0.9724,1.0335
fas,BeetleLM/beetlelm_fas-nld_sequential,step-8000,sequential,88.73,968,0.9961810111999512,0.08114534616470337,1.0023715496063232,1.022,0.9512,0.9299,0.9524,0.9218,1.0875,1.0119,0.9888,0.9724,1.0335
fas,BeetleLM/beetlelm_fas-deu_sequential,step-8000,sequential,87.72,957,0.9957939386367798,0.08034317195415497,1.0017614364624023,0.9567,1.0378,1.0382,1.0198,0.9899,0.9775,1.0348,1.0293,1.0094,1.0128
fas,BeetleLM/beetlelm_fas-ind_part_time,step-8000,part_time,87.81,958,0.9947114586830139,0.08065858483314514,1.0011881589889526,0.9709,1.0246,0.9696,1.0345,1.0138,1.0707,1.0324,0.9376,1.0173,1.0168
fas,BeetleLM/beetlelm_fas-bul_part_time,step-8000,part_time,86.71,946,0.9936158061027527,0.08129695057868958,0.9988374710083008,1.0568,1.0548,1.0185,1.0024,0.9641,1.0874,1.0058,1.0031,1.0713,1.0336
fas,BeetleLM/beetlelm_fas-eng_part_time,step-8000,part_time,89.0,971,0.9940357804298401,0.0804746001958847,0.9994326829910278,0.9961,1.0702,1.0278,1.0005,1.0126,1.0511,1.0401,1.0312,0.9264,1.0344
fas,BeetleLM/beetlelm_fas-nld_part_time,step-8000,part_time,88.73,968,0.9961810111999512,0.08114534616470337,1.0023715496063232,1.022,0.9512,0.9299,0.9524,0.9218,1.0875,1.0119,0.9888,0.9724,1.0335
fas,BeetleLM/beetlelm_fas-deu_part_time,step-8000,part_time,87.72,957,0.9957939386367798,0.08034317195415497,1.0017614364624023,0.9567,1.0378,1.0382,1.0198,0.9899,0.9775,1.0348,1.0293,1.0094,1.0128
fas,BeetleLM/beetlelm_zho-fas_late,step-15000,late,79.38,866,0.9943089485168457,0.08395376801490784,0.9998977780342102,0.9101,0.9986,0.999,1.0942,1.02,0.9264,1.0148,1.0155,1.0556,0.9233
fas,BeetleLM/beetlelm_fas-ind_late,step-8000,late,87.81,958,0.9947114586830139,0.08065858483314514,1.0011881589889526,0.9709,1.0246,0.9696,1.0345,1.0138,1.0707,1.0324,0.9376,1.0173,1.0168
fas,BeetleLM/beetlelm_fas-eng_late,step-8000,late,89.0,971,0.9940357804298401,0.0804746001958847,0.9994326829910278,0.9961,1.0702,1.0278,1.0005,1.0126,1.0511,1.0401,1.0312,0.9264,1.0344
fas,BeetleLM/beetlelm_fas-ukr_late,step-8000,late,85.98,938,0.9940086603164673,0.08768893033266068,0.9991297721862793,0.9739,0.9567,1.0231,1.022,1.0048,0.9494,0.9716,1.0556,0.9668,1.0565
fas,BeetleLM/beetlelm_fas-nld_late,step-8000,late,88.73,968,0.9961810111999512,0.08114534616470337,1.0023715496063232,1.022,0.9512,0.9299,0.9524,0.9218,1.0875,1.0119,0.9888,0.9724,1.0335
fas,BeetleLM/beetlelm_fas-deu_late,step-8000,late,87.72,957,0.9957939386367798,0.08034317195415497,1.0017614364624023,0.9567,1.0378,1.0382,1.0198,0.9899,0.9775,1.0348,1.0293,1.0094,1.0128
fas,BeetleLM/beetlelm_zho-fas_heritage,step-20000,heritage,79.38,866,0.9942776560783386,0.08394408226013184,0.9998703002929688,0.9105,0.9975,0.9988,1.0938,1.0204,0.926,1.0155,1.0156,1.0556,0.9233
fas,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,heritage,85.98,938,0.9940095543861389,0.08769091218709946,0.9990774393081665,0.9739,0.9566,1.0231,1.022,1.0048,0.9494,0.9716,1.0556,0.9668,1.0565
fas,BeetleLM/beetlelm_fas-ind_heritage,step-5499,heritage,87.81,958,0.9947160482406616,0.08065678924322128,1.0010671615600586,0.9709,1.0245,0.9696,1.0345,1.0138,1.0706,1.0324,0.9376,1.0174,1.0168
fas,BeetleLM/beetlelm_fas-bul_heritage,step-10387,heritage,86.71,946,0.9936171174049377,0.08129622787237167,0.9988603591918945,1.0569,1.0548,1.0185,1.0024,0.9641,1.0874,1.0058,1.0032,1.0713,1.0336
fas,BeetleLM/beetlelm_fas-fra_heritage,step-3056,heritage,88.36,964,0.9938066005706787,0.08062977343797684,0.9986273050308228,0.9987,0.9871,0.9598,0.9921,0.9368,0.9922,1.0199,0.9671,1.0186,1.034
fas,BeetleLM/beetlelm_fas-deu_heritage,step-7332,heritage,87.72,957,0.9957919716835022,0.08034136891365051,1.0017504692077637,0.9567,1.0378,1.0382,1.0198,0.99,0.9774,1.0348,1.0294,1.0094,1.0128
