iso_code,repo,revision,bilingual_type,shared_vocab_pct,n_shared,mean_cosine_dist,std_cosine_dist,median_cosine_dist,probe_de_cosine_dist,probe_het_cosine_dist,probe_een_cosine_dist,probe_van_cosine_dist,probe_en_cosine_dist,probe_in_cosine_dist,probe_is_cosine_dist,probe_dat_cosine_dist,probe_op_cosine_dist,probe_te_cosine_dist
nld,BeetleLM/beetlelm_eng-nld_balanced,step-18341,balanced,78.56,744,0.9934808611869812,0.09701251238584518,1.0003410577774048,1.0467,1.0568,0.9555,1.0747,1.0215,1.007,1.0375,1.0015,0.9938,0.9771
nld,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,balanced,78.56,744,0.9934551119804382,0.09701748192310333,1.0002379417419434,1.0465,1.0574,0.9551,1.0748,1.021,1.0072,1.0376,1.0019,0.9933,0.9763
nld,BeetleLM/beetlelm_nld-ukr_balanced,step-5000,balanced,74.45,705,0.9913785457611084,0.09846215695142746,1.000122308731079,1.0417,0.9431,0.9724,0.9395,0.9762,1.0226,1.0433,1.0573,0.9788,1.0365
nld,BeetleLM/beetlelm_nld-fra_balanced,step-8000,balanced,78.35,742,0.9901177883148193,0.0964650809764862,0.9971336126327515,0.9915,0.9344,0.9521,0.9798,1.0071,0.9243,1.0145,1.0212,1.0317,0.9939
nld,BeetleLM/beetlelm_nld-deu_balanced,step-4000,balanced,77.61,735,0.992268443107605,0.09708881378173828,0.9979281425476074,0.9915,0.9808,1.0622,0.9928,1.007,1.03,1.0743,1.0008,1.0108,0.9806
nld,BeetleLM/beetlelm_nld-ind_balanced,step-2444,balanced,76.24,722,0.9922488927841187,0.09780792146921158,1.000964641571045,0.9242,0.977,1.0231,1.0294,0.9963,1.0575,1.0333,0.9992,1.0074,1.0072
nld,BeetleLM/beetlelm_nld-bul_balanced,step-30569,balanced,75.29,713,0.9925795793533325,0.0984242632985115,1.0012534856796265,1.0031,1.0227,1.0617,1.0245,0.9964,1.0418,0.9916,1.0048,1.0656,0.9871
nld,BeetleLM/beetlelm_zho-nld_balanced,step-30569,balanced,66.63,631,0.990168035030365,0.10361500829458237,0.9972304701805115,0.9694,1.0015,1.0028,0.9725,0.9855,0.9969,0.9797,1.0293,0.9777,1.0082
nld,BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,simultaneous,78.56,744,0.993487536907196,0.09702324867248535,1.0004873275756836,1.0468,1.0568,0.9556,1.0744,1.0216,1.007,1.0374,1.0015,0.9941,0.9774
nld,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,simultaneous,78.56,744,0.9934306740760803,0.09701015055179596,1.0004138946533203,1.0466,1.0565,0.9553,1.075,1.0213,1.0066,1.0374,1.0019,0.9937,0.9765
nld,BeetleLM/beetlelm_fas-nld_simultaneous,step-10000,simultaneous,76.98,729,0.988511323928833,0.1032031774520874,0.9976359605789185,0.9169,1.0404,1.0728,0.9597,1.0416,0.978,0.9447,1.0237,0.9554,1.0329
nld,BeetleLM/beetlelm_fas-nld_sequential,step-8000,sequential,76.98,729,0.9884945750236511,0.10320235788822174,0.9974862337112427,0.917,1.0404,1.0727,0.9599,1.0417,0.978,0.9447,1.0238,0.955,1.0328
nld,BeetleLM/beetlelm_fas-nld_part_time,step-8000,part_time,76.98,729,0.9884945750236511,0.10320235788822174,0.9974862337112427,0.917,1.0404,1.0727,0.9599,1.0417,0.978,0.9447,1.0238,0.955,1.0328
nld,BeetleLM/beetlelm_nld-deu_part_time,step-20000,part_time,77.61,735,0.9922386407852173,0.09707213938236237,0.9979459643363953,0.9911,0.9806,1.0624,0.9928,1.0068,1.0298,1.0735,1.0015,1.0106,0.9797
nld,BeetleLM/beetlelm_nld-bul_late,step-19000,late,75.29,713,0.992627739906311,0.09843118488788605,1.0011616945266724,1.0042,1.0227,1.0611,1.0252,0.9963,1.042,0.9918,1.0051,1.0652,0.9877
nld,BeetleLM/beetlelm_fas-nld_late,step-8000,late,76.98,729,0.9884945750236511,0.10320235788822174,0.9974862337112427,0.917,1.0404,1.0727,0.9599,1.0417,0.978,0.9447,1.0238,0.955,1.0328
nld,BeetleLM/beetlelm_nld-fra_heritage,step-16000,heritage,78.35,742,0.9900881052017212,0.09646651893854141,0.9971827268600464,0.9915,0.9343,0.9522,0.9798,1.0071,0.9243,1.0148,1.0211,1.0319,0.9939
nld,BeetleLM/beetlelm_nld-bul_heritage,step-25000,heritage,75.29,713,0.9926449656486511,0.09843939542770386,1.0013269186019897,1.0041,1.023,1.0612,1.025,0.9965,1.0421,0.9915,1.0055,1.0654,0.9872
