benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
multiblimp,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-0,Dutch,0.447018,1042,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-0,Dutch,0.495066,1154,2331
multiblimp,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-1000,Dutch,0.561562,1309,2331
multiblimp,BeetleLM/beetlelm_nld_mono,nld,mono,step-1000,Dutch,0.559417,1304,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-0,Dutch,0.490347,1143,2331
multiblimp,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-1000,Dutch,0.510082,1189,2331
multiblimp,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-1000,Dutch,0.538825,1256,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-1000,German,0.657093,1510,2298
multiblimp,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-1,Dutch,0.447018,1042,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-2000,German,0.693647,1594,2298
multiblimp,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-2000,Dutch,0.666238,1553,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-1,Dutch,0.495066,1154,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-1,Dutch,0.490347,1143,2331
multiblimp,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-2000,Dutch,0.473616,1104,2331
multiblimp,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-2000,Dutch,0.561991,1310,2331
multiblimp,BeetleLM/beetlelm_nld_mono,nld,mono,step-2000,Dutch,0.602317,1404,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-3000,German,0.711053,1634,2298
multiblimp,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-2,Dutch,0.447018,1042,2331
multiblimp,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-3000,Dutch,0.660661,1540,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-2,Dutch,0.490347,1143,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-2,Dutch,0.495066,1154,2331
multiblimp,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-3000,Dutch,0.598027,1394,2331
multiblimp,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-3000,Dutch,0.477477,1113,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-4000,German,0.734552,1688,2298
multiblimp,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-4000,Dutch,0.670957,1564,2331
multiblimp,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-4,Dutch,0.447018,1042,2331
multiblimp,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-4000,Dutch,0.513085,1196,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-4,Dutch,0.490347,1143,2331
multiblimp,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-4000,Dutch,0.673531,1570,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-4,Dutch,0.495066,1154,2331
multiblimp,BeetleLM/beetlelm_nld_mono,nld,mono,step-3000,Dutch,0.63964,1491,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-5000,German,0.746736,1716,2298
multiblimp,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-8,Dutch,0.447018,1042,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-8,Dutch,0.490347,1143,2331
multiblimp,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-5000,Dutch,0.676963,1578,2331
multiblimp,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-5000,Dutch,0.701845,1636,2331
multiblimp,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-5000,Dutch,0.504505,1176,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-8,Dutch,0.495066,1154,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-6000,German,0.765013,1758,2298
multiblimp,BeetleLM/beetlelm_nld_mono,nld,mono,step-4000,Dutch,0.665809,1552,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-16,Dutch,0.490347,1143,2331
multiblimp,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-6000,Dutch,0.70399,1641,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-7000,German,0.789382,1814,2298
multiblimp,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-6000,Dutch,0.504934,1177,2331
multiblimp,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-6000,Dutch,0.676534,1577,2331
multiblimp,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-16,Dutch,0.447018,1042,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-16,Dutch,0.495066,1154,2331
multiblimp,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-8000,German,0.785466,1805,2298
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-32,Dutch,0.490347,1143,2331
multiblimp,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-7000,Dutch,0.734878,1713,2331
multiblimp,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-32,Dutch,0.447018,1042,2331
multiblimp,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-7000,Dutch,0.534535,1246,2331
