repo,revision,iso_code,mean_nll,mean_ppl,median_ppl,std_ppl,n_sentences
BeetleLM/beetlelm_bul-deu_balanced,step-4000,bul,7.770516873819555,2700.3249944234135,2404.1368097154045,1524.8422584081343,1012
BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.555739061634531,816.6358738072415,702.9250920622472,490.7106587457282,1012
BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.967373044123292,174730.780024048,165830.20353747997,75678.84077453823,1012
BeetleLM/beetlelm_bul-deu_late,step-26000,deu,7.405670907186425,1817.6808677426227,1613.9492022577883,873.9906468153176,1012
BeetleLM/beetlelm_bul-deu_part_time,step-20000,bul,6.201367672253032,619.3247906718863,481.4207570335495,540.0639849631938,1012
BeetleLM/beetlelm_bul-deu_part_time,step-20000,deu,5.979250960670441,477.1693596090613,398.8697422155484,323.55627165234534,1012
BeetleLM/beetlelm_bul-deu_sequential,step-17000,bul,10.891675425141225,61365.81681837786,55083.0751526871,32784.81835036836,1012
BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.0076466134414375,493.4074395420475,411.1764915152927,343.19114744555674,1012
BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.051786933020641,1343.1779906593586,1189.2601832351556,792.398977804434,1012
BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,deu,6.635906199692737,879.3156839278813,766.446576639454,518.261496947702,1012
BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.208515849509258,1582.2984361028766,1395.346642678528,929.8104774087252,1012
BeetleLM/beetlelm_bul-fra_balanced,step-8000,fra,5.516049357035414,297.80489847206644,248.9197339442944,192.45793294267156,1012
BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.48677115902128,810.4411911189115,653.1467141776211,595.7152932803133,1012
BeetleLM/beetlelm_bul-fra_heritage,step-16000,fra,5.169884529980746,215.8970038158128,175.49689664613769,154.36290256089376,1012
BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.5886722675896445,888.467620610469,731.1921199010392,643.1909057397612,1012
BeetleLM/beetlelm_bul-fra_late,step-30000,fra,5.6385751409021765,341.8381592981754,281.33487381703003,232.1536502680534,1012
BeetleLM/beetlelm_bul-fra_part_time,step-30000,bul,5.99856133918046,500.69703262440174,399.3190510098955,397.9409567786666,1012
BeetleLM/beetlelm_bul-fra_part_time,step-30000,fra,5.172056977456737,218.19574384131965,175.5767638591562,157.22793155512466,1012
BeetleLM/beetlelm_bul-fra_sequential,step-19000,bul,10.488079870171227,41444.308314229136,38505.69737821005,21268.99740180056,1012
BeetleLM/beetlelm_bul-fra_sequential,step-19000,fra,4.995553166969962,182.56494112525766,147.9310297406904,132.4153969678565,1012
BeetleLM/beetlelm_bul-fra_simultaneous,step-16000,bul,6.475034852272908,803.3602498166373,650.8836745667745,598.5846946722071,1012
BeetleLM/beetlelm_bul-fra_simultaneous,step-16000,fra,5.1569617157397065,212.9285333067461,173.5565441690955,150.62875407081,1012
BeetleLM/beetlelm_bul-ind_balanced,step-2444,bul,8.659907574238984,6397.372235629912,5821.062482602079,3027.2470610611513,1012
BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.366463995733751,1816.0742553728371,1607.0660675457423,1014.1974374151162,1012
BeetleLM/beetlelm_bul-ukr_balanced,step-5000,bul,7.591310913383725,2236.212175113733,1999.8648935053457,1195.1845206043179,1012
BeetleLM/beetlelm_bul-ukr_heritage,step-10000,bul,6.753030994192885,1007.0259459688575,858.394941529744,618.2740241162571,1012
BeetleLM/beetlelm_bul-ukr_late,step-26000,bul,8.120983733961234,3959.032388144435,3390.6569866050136,2491.4886918548923,1012
BeetleLM/beetlelm_bul-ukr_part_time,step-25000,bul,5.954071035262624,469.48581184315555,378.3475396427233,349.5108642305726,1012
BeetleLM/beetlelm_bul-ukr_sequential,step-17000,bul,8.118865346720096,3931.703885124516,3395.1410258699225,2356.3684490898445,1012
BeetleLM/beetlelm_bul_mono,step-30000,bul,3.5858802025026013,40.454050654935536,35.3881203722912,22.800720035542824,1012
BeetleLM/beetlelm_deu-ukr_heritage,step-2000,deu,7.534951808895518,2026.8055768445201,1877.2677818101504,839.6654303410236,1012
BeetleLM/beetlelm_deu-ukr_late,step-2000,deu,7.485938647047805,1930.9380508089455,1779.4471909220115,803.7850708501068,1012
BeetleLM/beetlelm_deu-ukr_part_time,step-2000,deu,7.485938647047805,1930.9380508089455,1779.4471909220115,803.7850708501068,1012
BeetleLM/beetlelm_deu-ukr_sequential,step-2000,deu,7.485938647047805,1930.9380508089455,1779.4471909220115,803.7850708501068,1012
BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.670817282360062,2320.4379563530174,2129.5734712592193,968.9297436411654,1012
BeetleLM/beetlelm_deu_L1-eng_L2_balanced,step-30000,deu,6.553441731590527,1075.1032127355309,696.5758804451907,1366.0463648362716,1012
BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,deu,7.87295170169574,4440.647722720041,2618.162961459496,5629.568160078303,1012
BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.023172350975836,652.0360955297723,410.16542800112563,956.9107123053003,1012
BeetleLM/beetlelm_deu_mono,step-30000,deu,6.408582763945161,926.0250736629663,604.893713579422,1043.5079201756205,1012
BeetleLM/beetlelm_eng-bul_heritage,step-12000,bul,7.3156945215383535,1797.8238027367067,1519.7153984880629,1158.9552124576094,1012
BeetleLM/beetlelm_eng-bul_heritage,step-12000,eng,5.549319046994914,333.4134809305874,259.0124115671232,260.1921517870911,1012
BeetleLM/beetlelm_eng-bul_part_time,step-9000,bul,12.376642066970645,283475.1102803588,270511.32779644476,151123.657842244,1012
BeetleLM/beetlelm_eng-bul_part_time,step-9000,eng,5.655320951589954,367.9271768378786,283.3420813395161,278.5111309225516,1012
BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.333517242326096,1830.1095156699243,1549.7133606443153,1190.6189116896228,1012
BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.541960406444761,332.72053905466163,256.42296262891773,263.2730190812469,1012
BeetleLM/beetlelm_eng-deu_heritage,step-8000,deu,6.815119371112628,1111.7459987559678,904.8693040108647,829.5398640544769,1012
BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.19384758792847,669.6926458359384,488.09268656344216,634.2222667079506,1012
BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.643196542508046,358.68521675694325,285.60151578192955,273.62384271996876,1012
BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.81169457821978,464.7465680915154,350.684357007911,450.2074879297675,1012
BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.516418229921062,320.93880259542397,245.95822346584583,249.14374117189942,1012
BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.923963354039098,515.4711894157696,391.019981901223,480.17368922603964,1012
BeetleLM/beetlelm_eng-fra_part_time,step-9000,fra,9.50332027791517,18034.205206110866,14455.95523923652,14740.912101048658,1012
BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.731937676785963,435.8316908382533,311.28609085196,449.58706986230504,1012
BeetleLM/beetlelm_eng-nld_balanced,step-18341,nld,6.148115363752418,610.2055668333169,475.42931536783004,528.410677117929,1012
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.809666631485634,457.5104600639492,333.522482072299,435.7385743497146,1012
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,nld,6.702107750851175,1008.0144151999134,831.179726866135,767.1337445322852,1012
BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.553088687389736,1091.4513135202187,717.8429021659427,1742.3706293647683,1012
BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.6497726772613674,442.87347052850816,284.874048076804,583.1002825238949,1012
BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.9110773177486164,506.12499740022236,374.1795668276793,482.60559122234105,1012
BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.430797600227853,348.3081070985021,233.0786238933388,408.18862477925893,1012
BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,6.175434825448651,692.2029261014113,474.00099176649,729.2963404192767,1012
BeetleLM/beetlelm_fas-bul_heritage,step-10387,bul,7.319860405130349,1781.0776347385804,1524.1405853787394,1101.5875952286626,1012
BeetleLM/beetlelm_fas-bul_heritage,step-10387,fas,6.40555174807786,897.2789351723447,585.8769262327919,970.9150342017454,1012
BeetleLM/beetlelm_fas-bul_part_time,step-8000,bul,13.091335478507483,578708.58758322,557509.0107508888,295970.0810187418,1012
BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.335130953977231,783.4027167493531,554.2651545152344,761.2338324344139,1012
BeetleLM/beetlelm_fas-deu_balanced,step-4000,fas,7.274721203585387,1815.1078236576952,1454.7773136732808,1360.6084149962762,1012
BeetleLM/beetlelm_fas-deu_heritage,step-7332,deu,6.6529093721638555,938.9116257969843,761.9255592747762,713.5776477290506,1012
BeetleLM/beetlelm_fas-deu_heritage,step-7332,fas,6.7928181325965244,1266.551159925642,864.270037940696,1286.1387085461613,1012
BeetleLM/beetlelm_fas-deu_late,step-8000,deu,10.929722303458353,80423.1326067366,55815.126855228475,76325.87266590688,1012
BeetleLM/beetlelm_fas-deu_late,step-8000,fas,6.431598929312861,867.8413897731614,615.6310755522095,853.4935877155197,1012
BeetleLM/beetlelm_fas-deu_part_time,step-8000,fas,6.431598929312861,867.8413897731614,615.6310755522095,853.4935877155197,1012
